,year,stream,inst_id,inst_name,city,state,score,rank,total_duration_UG,total_duration_PG,total_n_male_UG,total_n_male_PG,total_n_female_UG,total_n_female_PG,total_total_strength_UG,total_total_strength_PG,total_same_state_strength_UG,total_same_state_strength_PG,total_other_state_strength_UG,total_other_state_strength_PG,total_other_country_strength_UG,total_other_country_strength_PG,total_econ_backward_UG,total_econ_backward_PG,total_social_backward_UG,total_social_backward_PG,total_tuit_reimb_govt_UG,total_tuit_reimb_govt_PG,total_tuit_reimb_inst_UG,total_tuit_reimb_inst_PG,total_tuit_reimb_prvt_UG,total_tuit_reimb_prvt_PG,total_no_tuit_reimb_UG,total_no_tuit_reimb_PG,total_cap_exp_2020_21_lib,total_cap_exp_2020_21_equip,total_cap_exp_2020_21_asset,total_cap_exp_2020_21_workshop,total_cap_exp_2019_20_lib,total_cap_exp_2019_20_equip,total_cap_exp_2019_20_asset,total_cap_exp_2019_20_workshop,total_cap_exp_2018_19_lib,total_cap_exp_2018_19_equip,total_cap_exp_2018_19_asset,total_cap_exp_2018_19_workshop,total_op_exp_2020_21_maint,total_op_exp_2020_21_salary,total_op_exp_2020_21_seminar,total_op_exp_2019_20_maint,total_op_exp_2019_20_salary,total_op_exp_2019_20_seminar,total_op_exp_2018_19_maint,total_op_exp_2018_19_salary,total_op_exp_2018_19_seminar
0,2022.0,Engineering,IR-E-C-10342,Chandigarh Engineering College,Sahibzada Ajit Singh Nagar,Punjab,37.37,139,4.0,2.0,3001.0,62.0,2469.0,73.0,5470.0,135.0,1297.0,28.0,4173.0,107.0,0.0,0.0,712.0,18.0,547.0,14.0,453.0,9.0,757.0,8.0,10.0,1.0,39.0,14.0,4184145.0,5508211.0,119055600.0,271291.0,4130154.0,3713406.0,71379930.0,132363.0,2394089.0,5202525.0,45934720.0,111230.0,443772740.0,364603100.0,6355026.0,508310620.0,315291780.0,1981904.0,213787460.0,271018940.0,0.0
1,2022.0,Engineering,IR-E-C-1262,B.M.S. College of Engineering,Bengaluru,Karnataka,41.71,83,4.0,2.0,3841.0,255.0,1599.0,166.0,5440.0,421.0,3988.0,399.0,1044.0,22.0,408.0,0.0,308.0,55.0,1425.0,165.0,756.0,115.0,31.0,12.0,215.0,10.0,731.0,83.0,7535996.0,95589704.0,200037940.0,11688214.0,7115375.0,68716280.0,286819550.0,7389917.0,6144691.0,42070428.0,202157870.0,1962233.0,126825780.0,722458500.0,34429064.0,114519060.0,707956600.0,24560806.0,112928470.0,645294600.0,31655286.0
2,2022.0,Engineering,IR-E-C-1269,R.V. College of Engineering,Bengaluru,Karnataka,40.73,89,4.0,2.0,3684.0,354.0,1245.0,253.0,4929.0,607.0,3520.0,575.0,1388.0,32.0,21.0,0.0,207.0,0.0,1056.0,154.0,357.0,78.0,0.0,0.0,102.0,6.0,804.0,70.0,3242963.0,38563950.0,4635793.0,819401.0,5268361.0,47162212.0,1630679.0,545456.0,3237270.0,67684040.0,5319054.0,441325.0,123287160.0,579484000.0,943939.0,170531140.0,567226800.0,2611330.0,160397060.0,586410200.0,3204000.0
3,2022.0,Engineering,IR-E-C-1297,Siddaganga Institute of Technology,Tumkur,Karnataka,40.24,97,4.0,2.0,2217.0,69.0,1211.0,100.0,3428.0,169.0,2924.0,169.0,451.0,0.0,53.0,0.0,170.0,0.0,1802.0,30.0,446.0,26.0,306.0,0.0,25.0,0.0,1195.0,4.0,3862466.0,6211905.0,6853754.0,300426.0,2450712.0,16640238.0,2190505.0,662543.0,2541675.0,15825819.0,7871324.0,553902.0,110889710.0,368034240.0,2162890.0,170457660.0,371224900.0,2567637.0,181268900.0,382134800.0,2412862.0
4,2022.0,Engineering,IR-E-C-1331,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,45.17,67,4.0,2.0,2873.0,198.0,1387.0,218.0,4260.0,416.0,2701.0,379.0,1364.0,37.0,195.0,0.0,324.0,87.0,884.0,78.0,859.0,157.0,50.0,0.0,0.0,0.0,299.0,8.0,9170498.0,61156696.0,7034712.0,16878590.0,4542135.0,55027612.0,8147079.0,16491816.0,7099402.0,58637736.0,10536771.0,6409551.0,180235220.0,653995800.0,2861576.0,201756590.0,634374300.0,6913731.0,244292260.0,555847360.0,4170391.0
5,2022.0,Engineering,IR-E-C-1336,BMS Institute of Technology & Management,Bengaluru,Karnataka,33.76,199,4.0,2.0,2447.0,14.0,1128.0,15.0,3575.0,29.0,2471.0,26.0,959.0,3.0,145.0,0.0,246.0,8.0,752.0,12.0,875.0,10.0,0.0,0.0,4.0,0.0,119.0,10.0,4553865.0,17278212.0,41782784.0,2105698.0,5160211.0,12821458.0,82393530.0,2521504.0,4974227.0,9646044.0,31580792.0,256759.0,60700916.0,291401820.0,7839888.0,79953320.0,281399070.0,12116717.0,80432860.0,249971890.0,9223453.0
6,2022.0,Engineering,IR-E-C-1345,"P E S College of Engineering, Mandya",Mandya,Karnataka,37.4,137,4.0,2.0,1071.0,25.0,1703.0,57.0,2774.0,82.0,2536.0,82.0,238.0,0.0,0.0,0.0,506.0,16.0,2165.0,56.0,1984.0,45.0,0.0,0.0,87.0,16.0,600.0,11.0,3804565.0,14823621.0,998396.0,15234585.0,2993725.0,12608879.0,11093136.0,13413443.0,6137401.0,30839112.0,1721183.0,10521419.0,93970950.0,283240450.0,0.0,91605576.0,283240450.0,4425550.0,92429260.0,262073300.0,2245444.0
7,2022.0,Engineering,IR-E-C-1352,Nitte Meenakshi Institute of Technology,Bengaluru,Karnataka,34.97,183,4.0,2.0,3213.0,73.0,1057.0,58.0,4270.0,131.0,2471.0,126.0,1595.0,3.0,204.0,2.0,423.0,2.0,1029.0,51.0,525.0,18.0,40.0,0.0,53.0,0.0,834.0,35.0,5764360.0,19050628.0,21939928.0,24170786.0,5362152.0,18036128.0,18843230.0,17530870.0,4743196.0,26932200.0,16417612.0,7048457.0,197637390.0,320040000.0,12598094.0,335660480.0,311107070.0,17648256.0,228817890.0,283371600.0,28744360.0
8,2022.0,Engineering,IR-E-C-1371,New Horizon College of Engineering,Bengaluru,Karnataka,38.18,121,4.0,2.0,3445.0,24.0,1478.0,20.0,4923.0,44.0,2929.0,39.0,1884.0,5.0,110.0,0.0,334.0,15.0,1640.0,23.0,1077.0,8.0,97.0,2.0,0.0,0.0,800.0,28.0,2332218.0,23481580.0,65080056.0,6817281.0,2446558.0,16120058.0,68152390.0,5042581.0,1983781.0,23413880.0,89678080.0,5726355.0,159012930.0,375416160.0,7156187.0,109394380.0,378087300.0,8274974.0,102673540.0,377002080.0,1713212.0
9,2022.0,Engineering,IR-E-C-1400,NMAM Institute of Technology,"Nitte, Udupi",Karnataka,35.27,175,4.0,2.0,2997.0,70.0,1451.0,67.0,4448.0,137.0,4034.0,133.0,414.0,4.0,0.0,0.0,700.0,5.0,956.0,61.0,716.0,2.0,57.0,0.0,0.0,0.0,883.0,64.0,8059394.0,16238145.0,633120.0,1452325.0,5416148.0,41538270.0,8572412.0,2392520.0,5829313.0,25764702.0,5165060.0,2164432.0,188385700.0,315232930.0,491399.0,252036110.0,328735170.0,3352491.0,231600590.0,303163550.0,2327891.0
10,2022.0,Engineering,IR-E-C-1406,C M R Institute of Technology,Bengaluru,Karnataka,35.11,180,4.0,2.0,2493.0,16.0,1207.0,12.0,3700.0,28.0,2766.0,23.0,827.0,5.0,107.0,0.0,444.0,3.0,1613.0,14.0,367.0,5.0,193.0,0.0,0.0,0.0,1497.0,12.0,4267615.0,59916396.0,0.0,718368.0,4989147.0,68816500.0,0.0,819232.0,5258616.0,62705788.0,0.0,0.0,162290370.0,187809800.0,6862279.0,180322620.0,212542080.0,5847257.0,199258240.0,182150690.0,6157731.0
11,2022.0,Engineering,IR-E-C-1412,JSS Science and Technology University,Mysuru,Karnataka,36.36,158,4.0,2.0,2657.0,156.0,1381.0,202.0,4038.0,358.0,3742.0,344.0,294.0,14.0,2.0,0.0,1230.0,110.0,1491.0,138.0,2121.0,230.0,34.0,4.0,91.0,0.0,475.0,14.0,10614426.0,16891804.0,66545490.0,786898.0,8604631.0,17413572.0,23706868.0,7290962.0,4481890.0,22997900.0,21992000.0,895638.0,150789780.0,483256130.0,8868087.0,166215970.0,417241470.0,14732720.0,155958500.0,415469600.0,8461538.0
12,2022.0,Engineering,IR-E-C-16504,Sri Venkateswara College of Engineering and Technology,Chittoor,Andhra Pradesh,33.77,198,4.0,2.0,1978.0,88.0,1244.0,21.0,3222.0,109.0,2475.0,98.0,391.0,8.0,356.0,3.0,1567.0,49.0,1655.0,60.0,2789.0,0.0,308.0,97.0,85.0,5.0,40.0,7.0,7119458.0,29606456.0,16356589.0,1756408.0,12020548.0,29505258.0,16256565.0,1747408.0,12018459.0,29406144.0,17245356.0,1746204.0,78562456.0,182740450.0,2950457.0,74462540.0,179840540.0,2840568.0,70451544.0,169835470.0,2835458.0
13,2022.0,Engineering,IR-E-C-16547,Sri Sairam Engineering College,Kancheepuram,Tamil Nadu,36.41,157,4.0,2.0,2577.0,61.0,1892.0,82.0,4469.0,143.0,3828.0,107.0,632.0,36.0,9.0,0.0,0.0,0.0,2671.0,66.0,219.0,14.0,211.0,0.0,0.0,0.0,2241.0,52.0,4536700.0,44504800.0,71125600.0,13540000.0,3975400.0,13504800.0,28475176.0,8435215.0,3579445.0,12800902.0,22155996.0,5751683.0,193507000.0,376508000.0,17577434.0,180209520.0,323601760.0,14540200.0,134327470.0,319309200.0,12527466.0
14,2022.0,Engineering,IR-E-C-16560,Easwari Engineering College,Chennai,Tamil Nadu,35.07,181,4.0,2.0,2491.0,26.0,1006.0,30.0,3497.0,56.0,3457.0,54.0,40.0,2.0,0.0,0.0,550.0,9.0,2947.0,47.0,934.0,0.0,155.0,19.0,1712.0,28.0,696.0,9.0,2818590.0,11157434.0,11505147.0,11266751.0,2780957.0,9193939.0,10788036.0,10921722.0,2677596.0,11641812.0,9812258.0,10041057.0,252876100.0,190106560.0,4518156.0,247942660.0,188568380.0,4068327.0,228752200.0,169708930.0,4518446.0
15,2022.0,Engineering,IR-E-C-16576,Chennai Institute of Technology,Chennai,Tamil Nadu,35.27,175,4.0,2.0,2026.0,23.0,752.0,14.0,2778.0,37.0,2165.0,37.0,613.0,0.0,0.0,0.0,0.0,0.0,1841.0,37.0,658.0,2.0,1128.0,35.0,33.0,0.0,22.0,0.0,7667567.0,7507123.0,13624215.0,2426540.0,5273505.0,10260479.0,29106040.0,4330610.0,2531176.0,14836758.0,16177909.0,364512.0,68930030.0,197384720.0,19253924.0,110177120.0,240109900.0,18950000.0,48373270.0,219949900.0,13086670.0
16,2022.0,Engineering,IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,50.5,48,4.0,2.0,2548.0,41.0,1345.0,54.0,3893.0,95.0,3410.0,90.0,435.0,5.0,48.0,0.0,715.0,55.0,1195.0,27.0,363.0,15.0,620.0,5.0,161.0,2.0,766.0,60.0,6447358.0,18006808.0,26938566.0,1631749.0,5174971.0,17391288.0,27312676.0,1813054.0,3338473.0,17385704.0,26915036.0,1579060.0,351211000.0,650544100.0,5299608.0,313034600.0,779518700.0,17799514.0,297255600.0,619293000.0,17799514.0
17,2022.0,Engineering,IR-E-C-16614,R.M.K. Engineering College,Thiruvallur,Tamil Nadu,36.46,154,4.0,2.0,2037.0,1.0,958.0,7.0,2995.0,8.0,2250.0,6.0,745.0,2.0,0.0,0.0,862.0,3.0,1978.0,5.0,638.0,0.0,52.0,1.0,56.0,0.0,2094.0,7.0,11073726.0,12100933.0,5663138.0,1956220.0,11610330.0,11850572.0,7040598.0,1932704.0,11114121.0,4589387.0,5230638.0,667313.0,190212450.0,290010560.0,8870015.0,196941490.0,288353660.0,8165208.0,212406600.0,292823070.0,7296552.0
