Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-G-U-0101,Indian Agricultural Research Institute,New Delhi,Delhi,87.98,1,Agriculture,409034,7650151,17415458,155392263,117782112,111264943,0,0,0,0,0,0,160022800,80321443,27878768,2631588452,2519619062.0,2030584564.0,701625290.0,42677989.0,34394400.0,268839724.0,104406203.0,33723687.0,220,99,321,212,319,533,13,2,306,529,0,2,47,73,206,324,0,0,63,107,0,0,190,290
IR-G-U-0171,ICAR - National Dairy Research Institute,Karnal,Haryana,71.18,2,Agriculture,8997432,9176739,5010296,1904212,9544290,34358694,0,0,0,0,0,0,14212490,10072079,27134595,958949213,905105325.0,730160522.0,10287975302.0,412117346.0,379441983.0,672429.0,4582419.0,84740.0,132,32,126,121,164,247,57,25,107,222,0,0,15,22,87,124,0,0,0,0,0,0,102,146
IR-G-U-0381,Punjab Agricultural University,Ludhiana,Punjab,69.63,3,Agriculture,4268821,4811108,5113121,110633737,44439380,151473746,0,0,0,0,0,0,65079015,24200916,26084415,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324,1177,399,501,2501,900,2405,773,67,124,29,3,186,10,707,156,261,43,119,28,0,0,513,95
IR-G-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,68.32,4,Agriculture,0,620164,0,17243184,2309932,0,0,0,0,0,0,0,1851800,1957823,0,324164949,110484978.0,107510585.0,964515.0,11308000.0,10112654.0,1098506.0,1050000.0,0.0,817,477,0,0,1294,0,329,0,847,0,118,0,83,0,525,0,0,0,0,0,0,0,608,0
IR-G-U-0518,"Indian Veterinary Research Institute, Izatnagar",Bareilly,Uttar Pradesh,67.76,5,Agriculture,4328081,0,5271000,33051728,93198688,37174742,0,0,0,0,0,0,2714490,5857000,879000,1648684211,1596218140.0,1537188578.0,243707011.0,249885103.0,223577600.0,465101.0,310400.0,437118.0,96,42,147,107,138,254,44,14,94,240,0,0,10,16,46,164,31,57,0,0,0,0,25,123
IR-G-U-0485,Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,64.92,6,Agriculture,10607168,10851450,9482722,195948967,119540188,66443340,0,0,0,0,0,0,96292228,151960226,163938086,5852795807,5242152921.0,5338631220.0,1132017645.0,980838479.0,978097929.0,10956054.0,13832073.0,584435.0,2509,4785,385,497,7294,882,6766,635,526,246,2,1,2209,221,4210,489,2483,63,26,167,37,113,3873,367
IR-G-U-0159,Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,63.75,7,Agriculture,23671969,30275873,16890937,134071828,324310704,201255256,0,0,0,0,0,0,13734224,21741737,17442651,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796,775,380,320,1571,700,1482,673,88,24,1,3,213,86,732,301,0,0,0,0,0,0,945,387
IR-G-U-0554,G.B. Pant Universtiy of Agriculture and Technology,Pantnagar,Uttarakhand,61.77,8,Agriculture,2189418,2410470,1877300,4975205,2617613,12543395,0,0,0,0,0,0,22908866,130947455,145457027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1777,1455,319,326,3232,645,2810,468,421,176,1,1,280,39,1202,232,1037,234,0,0,0,0,445,37
IR-G-U-0293,"Central Institute of Fisheries Education, Fishries University",Mumbai,Maharashtra,61.37,9,Agriculture,498486,243447,2202276,8917808,4645584,829960,0,0,0,0,0,0,11616415,8597546,4273313,360571000,337300000.0,319113866.0,158462634.0,165056479.0,152519721.0,290821.0,223918.0,1036278.0,0,0,80,112,0,192,0,6,0,186,0,0,0,26,0,132,0,43,0,0,0,0,0,115
IR-G-U-0200,Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,Srinagar,Jammu and Kashmir,61.04,10,Agriculture,2273078,8140000,7789989,52318982,24100000,28019947,0,0,0,0,0,0,27774047,25000000,11976351,3178705000,1865235000.0,1768471000.0,151702000.0,29195000.0,74598000.0,33779706.0,36200000.0,30650225.0,991,1128,264,322,2119,586,2061,537,58,49,0,0,317,87,742,205,111,64,421,217,12,11,515,0
