Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-A-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,84.92,1,Architecture,5232612,9723969,5595627,1224981,7722638,6844226,0,0,0,202952,494000,1342343,17214407,12352591,3755438,98734408,93316346.0,75934647.0,47788658.0,43905183.0,3197886.0,939450.0,100031.0,229919.0,130,34,26,24,164,50,8,1,156,44,0,5,16,4,81,27,0,0,55,12,0,0,42,19
IR-A-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,80.71,2,Architecture,6822900,5050072,5989836,20254873,14453856,18038667,0,0,0,2300000,1380000,920000,17249010,6099221,4207858,189768302,169377322.0,150140743.0,66025786.0,86597479.0,82503943.0,1785140.0,623980.0,735311.0,169,37,53,48,206,101,14,7,191,94,1,0,25,9,107,59,98,68,0,0,0,0,34,0
IR-A-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,79.51,3,Architecture,9261623,1230032,5932562,33242964,32523251,20289423,0,0,0,2584600,1785350,1716177,20273476,25632345,5025152,160523156,158525214.0,160086214.0,152345243.0,105034328.0,91225215.0,4457689.0,3924235.0,4132545.0,146,134,11,21,280,32,148,20,129,12,3,0,21,1,180,24,67,0,114,25,2,0,18,0
IR-A-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,69.71,4,Architecture,1947667,1442780,1629004,2316305,0,2789413,0,0,0,0,0,0,5832900,1370911,333315,61836010,60548286.0,37690467.0,25321772.0,16959424.0,14329260.0,112948.0,0.0,200324.0,52,65,16,17,117,33,49,15,68,18,0,0,9,8,59,15,18,5,18,0,0,0,32,18
IR-A-U-0116,School of Planning and Architecture New Delhi,New Delhi,Delhi,69.0,5,Architecture,1035849,1064745,2164483,2937064,2378359,1721471,0,0,0,757800,354342,100142,2012077,2270140,2445362,339360114,361073700.0,306295914.0,345787204.0,219849161.0,82388057.0,1533944.0,314268.0,471592.0,439,400,219,261,839,480,54,50,716,430,69,0,63,34,398,230,53,4,0,156,12,0,396,104
IR-A-U-0127,Centre for Environmental Planning and Technology University,Ahmedabad,Gujarat,67.23,6,Architecture,2399682,2282766,796402,2081494,7080979,7437581,0,0,0,4548386,7372921,0,29681776,27589942,15563961,292431674,244529772.0,190656996.0,108876765.0,96018842.0,64704612.0,8565714.0,1537431.0,632198.0,218,368,156,333,586,489,312,94,274,394,0,1,60,3,29,78,11,2,5,16,1,0,72,63
IR-A-U-0108,Jamia Millia Islamia,New Delhi,Delhi,66.21,7,Architecture,563355,482972,265833,2030319,1891612,976054,0,0,0,131394,116384,563000,818467,785640,382000,123301657,111082574.0,89776786.0,16224621.0,17189318.0,12020295.0,175000.0,52397.0,96000.0,97,104,127,143,201,270,21,32,169,236,11,2,176,224,20,30,117,111,30,80,49,47,0,16
IR-A-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,65.08,8,Architecture,126000,500714,275620,1413000,3240200,5408000,0,0,0,0,675000,0,19155930,17839058,16731839,43050509,40179080.0,35061969.0,31524033.0,25473135.0,22734856.0,0.0,468927.0,0.0,142,144,20,28,286,48,135,19,146,29,5,0,37,4,172,27,4,0,178,31,0,0,27,0
IR-A-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,64.88,9,Architecture,1418143,79555,137517,22471,33968,0,0,0,0,195300,0,0,47497,0,836324,17516683,16907287.0,14611327.0,1006673.0,535086.0,410785.0,445606.0,30000.0,0.0,64,33,0,0,97,0,50,0,47,0,0,0,15,0,55,0,0,0,52,0,0,0,18,0
IR-A-U-0334,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,63.05,10,Architecture,1131459,1028599,935090,398528,362298,2965726,0,0,0,618944,562676,511524,310914,282649,256954,107713334,97921213.0,89019285.0,27423337.0,24930306.0,22663915.0,712201.0,647455.0,588596.0,162,196,17,22,358,39,163,25,182,14,13,0,30,4,190,17,0,0,0,0,0,0,220,21
