Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-C-C-6377,Hindu College,Delhi,Delhi,74.47,1,College,1385193,1255203,1024675,16199101,13874336,11066888,0,0,0,0,0,0,18711862,11271267,10967091,653838213,528783166.0,509923012.0,55426234.0,43630477.0,18684697.0,6153762.0,1687514.0,1415241.0,2268,1373,294,340,3642,635,740,130,2841,487,61,18,819,166,1627,318,1290,166,796,171,87,27,273,120
IR-C-C-6355,Miranda House,Delhi,Delhi,73.22,2,College,1905178,1886906,2136166,5826121,5339010,1264038,0,0,0,0,0,0,75883550,26074886,15722686,876743952,646777107.0,590005713.0,56268011.0,16064033.0,4406438.0,4085625.0,1676294.0,1087072.0,0,5067,0,476,5067,476,877,75,4129,390,61,11,851,39,2212,207,668,35,238,41,110,7,2047,163
IR-C-C-22470,St. Stephens's College,Delhi,Delhi,72.97,3,College,1575040,1960771,1696092,721303,537168,1368175,0,0,0,0,0,0,2695382,5932650,12141795,417734746,317795911.0,214733475.0,28716851.0,14289885.0,10037187.0,13722163.0,30294.0,0.0,590,657,18,27,1247,45,332,12,910,33,5,0,26,2,163,2,50,3,38,1,53,0,48,0
IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,Kolkata,West Bengal,72.97,3,College,3444822,2123525,271118,11844218,4588670,4029546,0,0,0,0,0,0,5197806,6036660,5957177,91209125,89574374.0,83464680.0,43936457.0,31746427.0,28188128.0,2563338.0,291783.0,359668.0,638,0,178,0,638,178,230,70,407,108,1,0,283,74,310,86,43,38,547,120,3,2,0,0
IR-C-C-22462,Atma Ram Sanatan Dharm College,New Delhi,Delhi,72.59,5,College,4111801,1860887,1627439,1132904,1177009,1002659,0,0,0,0,0,0,6390630,2874548,1957079,521665756,432730672.0,395600811.0,26721843.0,20746836.0,13459518.0,2035444.0,582026.0,534998.0,2760,1648,73,67,4408,140,1314,52,3074,85,20,3,1160,41,1764,65,58,5,1623,41,124,23,1119,37
IR-C-C-11881,St. Xavier`s College,Kolkata,West Bengal,72.15,6,College,2472839,1023911,548858,8147436,16171421,4139263,0,0,0,0,0,0,49398112,53865597,10740673,453691221,414095681.0,355594957.0,172269502.0,120095955.0,74376773.0,7039913.0,1378378.0,8924121.0,3649,2942,329,809,6591,1138,5270,1046,1308,89,13,3,3213,591,942,153,513,172,1137,143,11,17,2494,412
IR-C-C-41046,PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,72.09,7,College,4994732,4833367,6845455,39666411,4892608,5860637,0,0,0,0,0,0,21055052,7694614,6587998,396566867,334111916.0,308309555.0,218535834.0,119701758.0,79281053.0,3885639.0,2764531.0,1872383.0,0,6895,0,1327,6895,1327,5484,1136,1371,188,40,3,524,103,6263,1215,1906,54,2109,55,1536,217,1236,992
IR-C-C-44006,Loyola College,Chennai,Tamil Nadu,70.74,8,College,1347580,3362404,2635519,8780892,5759726,10852478,0,0,0,0,0,0,27527720,72353544,13355965,566291648,415442333.0,407955418.0,221450757.0,122753500.0,166439843.0,1748780.0,701626.0,4902089.0,7514,314,813,653,7828,1466,6937,1169,858,278,33,19,296,97,6678,1248,4123,442,748,172,49,15,2054,716
IR-C-C-6385,Kirori Mal College,Delhi,Delhi,69.86,9,College,2045754,1601815,1376065,7851486,912322,1160810,0,0,0,0,0,0,14488219,1553740,2592062,947184760,3633091509.0,3288333672.0,23409313.0,29501475.0,28914981.0,6145917.0,2543193.0,1745614.0,3485,1830,0,0,5315,0,1192,0,4051,0,72,0,188,0,2401,0,516,0,1221,0,36,0,816,0
IR-C-C-6415,Lady Shri Ram College for Women,New Delhi,Delhi,69.49,10,College,2296378,1527357,1623071,6638324,625779,440789,0,0,0,0,0,0,3978444,1683804,0,389508736,342324685.0,324310903.0,13944657.0,16888157.0,15602084.0,1238224.0,936012.0,309929.0,0,3723,0,249,3723,249,868,50,2795,199,60,0,325,20,1575,104,183,5,370,34,98,2,1249,83
