Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-N-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,81.83,1,Dental,14364550,11701973,10835160,126968295,111900000,86000000,0,0,0,0,0,0,40395623,0,0,342336660,284266275,198066000,145252701,93745474,63910187,6114650,6188000,12442974,163,344,43,110,507,153,222,56,276,95,9,2,14,3,76,27,0,0,18,8,72,21,0,1
IR-N-C-7254,"Manipal College of Dental Sciences, Manipal",Manipal,Karnataka,76.03,2,Dental,6548100,6872564,7818502,22051156,5176401,11107625,0,0,0,0,0,0,2624053,1701046,352091,245774822,235442608,206836517,167266240,144552556,113047708,3803470,1101350,1003404,128,368,30,66,496,96,49,18,444,78,3,0,5,1,53,12,0,0,5,7,0,0,53,6
IR-N-C-28507,Maulana Azad Institute of Dental Sciences,Delhi,Delhi,74.39,3,Dental,13292949,15400000,17000000,23141360,71522320,59400001,0,0,0,0,0,0,12092963,69414120,37608139,410282552,378305606,351734782,100722721,123177241,100563015,873942,733226,551060,87,122,17,49,209,66,151,33,58,33,0,0,16,4,97,30,0,0,95,0,0,0,18,34
IR-N-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,72.36,4,Dental,10645809,9077088,33352698,100285063,89355663,549999448,0,0,0,0,0,0,32197263,15735630,445263492,1545981509,1398012928,1273913425,212126506,195731126,220727699,4354621,613750,29808000,114,210,43,89,324,132,263,91,61,41,0,0,15,7,201,64,201,64,0,0,0,0,15,7
IR-N-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,72.25,5,Dental,12535950,6464526,6683382,18877775,18314726,7785351,0,0,0,0,0,0,10953323,1904669,1457324,234028279,206880241,178140715,121383989,147753187,152893139,2643455,651407,144996,101,399,36,110,500,146,358,103,137,39,5,4,0,0,122,37,0,0,2,17,0,0,120,20
IR-N-C-19320,A.B.Shetty Memorial Institute of Dental Sciences,Mangaluru,Karnataka,70.14,6,Dental,10774096,8805942,6413542,21732086,10322461,9283062,0,0,0,0,0,0,5325752,3053304,2856706,181119925,159984457,145870588,345762285,273814104,204263742,2166177,1211882,630530,157,350,45,102,507,147,121,12,383,134,3,1,0,0,12,8,0,0,9,1,0,0,3,7
IR-N-N-352,SRM Dental College,Chennai,Tamil Nadu,69.18,7,Dental,3557627,7883424,5265000,14375903,21552629,16784480,0,0,0,0,0,0,24809670,51101662,44821656,182671773,167536579,156780109,110030482,118190168,97396874,1473463,2402600,1926044,118,382,48,115,500,163,314,78,181,85,5,0,1,0,171,54,0,0,96,21,4,0,72,33
IR-N-U-0108,Jamia Millia Islamia,New Delhi,Delhi,64.38,8,Dental,1637727,2997072,1408420,15249729,16991511,1247769,0,0,0,0,0,0,460439,229368,0,269247108,232947666,204799610,51494252,50697610,1825628,1809577,234722,1300000,99,125,0,0,224,0,45,0,179,0,0,0,113,0,82,0,110,0,70,0,15,0,0,0
IR-N-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,63.26,9,Dental,8549663,5890051,9614541,107453905,93878824,81884354,0,0,0,0,0,0,41863880,33827700,36768450,138311678,132364294,129833707,360296366,359192235,310206685,3564004,3415865,3326344,166,236,37,45,402,82,74,15,328,67,0,0,16,3,50,9,0,0,0,0,0,0,66,12
IR-N-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,62.4,10,Dental,4636352,4789373,31443267,19354856,19286568,8585244,0,0,0,0,0,0,5832000,0,0,274502095,150027145,148912818,299438928,157237189,287101798,6112077,1152976,1089618,97,317,30,84,414,114,317,93,87,21,10,0,40,5,104,43,46,5,75,26,8,6,15,11
