Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,89.46,1,Engineering,166121795,219593796,212299912,0,0,0,35946386,16830244,4717584,0,0,0,0,0,0,5264103350,6441607707.0,5511469625.0,8190818672.0,7509570465.0,4592454620.0,151382796.0,108033204.0,110595144.0,3940,969,1442,261,4909,1703,950,214,3957,1434,2,55,580,556,2498,798,258,9,2367,1217,387,95,66,33
IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,86.66,2,Engineering,171675951,183339247,165806523,0,0,0,2429151,44456874,3399314,0,0,0,0,0,0,0,0.0,0.0,3796702680.0,3659085996.0,3637475618.0,182302420.0,2654267.0,5348744.0,4011,960,2750,575,4971,3325,479,196,4491,3055,1,74,423,248,2577,1336,126,77,1960,566,235,63,679,878
IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,83.09,3,Engineering,26225709,375450963,301195242,0,0,0,82044432,99980000,11208500,0,0,0,0,0,0,6396252265,6014661181.0,4880350922.0,2047321211.0,1774612987.0,1621409220.0,24835283.0,9177625.0,20859647.0,4836,1127,2136,432,5963,2568,1788,472,4142,2039,33,57,483,140,3079,1251,1414,478,748,170,234,0,1166,743
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,82.79,4,Engineering,183900000,165902000,169511000,0,0,0,120140000,107318500,102500000,0,0,0,0,0,0,3474908000,3132324000.0,3072400000.0,4632930000.0,3931518000.0,3972820000.0,51100000.0,46800000.0,52100000.0,3540,870,1439,274,4410,1713,964,435,3446,1267,0,11,410,170,2203,820,778,117,1743,804,0,0,92,69
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,76.88,5,Engineering,598787058,202373250,139617498,0,0,0,0,3106781,0,0,0,0,0,0,0,6587670702,5879812403.0,5212028391.0,2292037840.0,2988503253.0,2847234204.0,61969857.0,21661017.0,25525807.0,6616,1356,2538,541,7972,3079,998,670,6950,2379,24,30,614,294,4044,1646,4005,1925,0,0,0,0,653,15
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,76.0,6,Engineering,144800648,248408443,145024441,0,0,0,12625688,17442828,18388486,0,0,0,0,0,0,3712489727,3207132412.0,2591850680.0,1322442509.0,1115799200.0,862279842.0,50353929.0,15625027.0,8311115.0,3493,841,1074,298,4334,1372,119,64,4209,1185,6,123,377,148,2173,618,16,0,1574,273,1,0,959,493
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,71.86,7,Engineering,205193001,119461203,112824572,0,0,0,15232760,14081657,15072578,0,0,0,0,0,0,1733706888,1655960697.0,1725760314.0,816288401.0,738569173.0,1457938450.0,71141200.0,12197738.0,11794148.0,2985,792,1452,301,3777,1753,126,97,3638,1656,13,0,341,141,1888,751,1339,317,0,0,0,0,890,575
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,71.55,8,Engineering,54273351,35657429,36056910,0,0,0,0,600000,218597,0,0,0,0,0,0,2044754274,1745821591.0,792195187.0,1122709987.0,764647920.0,750826090.0,38926352.0,2433745.0,3929974.0,1351,339,582,172,1690,754,583,111,1089,642,18,1,168,57,860,240,128,0,567,64,2,0,331,233
IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,66.88,9,Engineering,901170,2634509,5454291,0,0,0,100000,500000,2000000,0,0,0,0,0,0,1377511528,1389753614.0,1255619756.0,1115508711.0,940335091.0,1087633696.0,4145050.0,10396829.0,323806.0,3399,905,948,159,4304,1107,1883,76,2304,1029,117,2,535,168,2204,599,71,5,2140,732,36,30,492,0
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,66.69,10,Engineering,90573233,83885967,71962850,0,0,0,15429016,26504291,6874261,0,0,0,0,0,0,2087636535,1727284473.0,1628336785.0,1636481738.0,1337987687.0,1055600447.0,23570324.0,6624328.0,6996396.0,4880,1153,626,105,6033,731,1481,181,4548,541,4,9,1376,219,2724,490,902,0,2963,709,235,0,0,0
IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,66.22,11,Engineering,94234385,4271984,44181502,0,0,0,3320766,3942784,3958151,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27749,7628,1871,813,35377,2684,7607,797,26362,1865,1408,22,11314,1008,10169,1260,11,0,243,0,0,0,21229,2268
IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,65.62,12,Engineering,46731403,60474836,85320602,0,0,0,513451,323483,240592,0,0,0,0,0,0,1179256961,1158946874.0,1150929984.0,931981079.0,705183857.0,637123563.0,6497585.0,8329818.0,10116649.0,4462,521,623,158,4983,781,4217,431,763,349,3,1,677,342,2185,267,2340,578,390,11,88,15,44,5
IR-E-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,65.41,13,Engineering,133745713,121587012,105727836,0,0,0,127226147,115660134,110152508,0,0,0,0,0,0,3222121074,2876893816.0,2301515053.0,0.0,0.0,0.0,0.0,0.0,0.0,13148,7081,358,248,20229,606,3024,60,16790,491,415,55,4248,133,4046,128,42,2,1305,259,101,0,6846,0
IR-E-U-0439,Anna University,Chennai,Tamil Nadu,65.34,14,Engineering,39965888,38198248,30610828,0,0,0,4330583,1977165,1529555,0,0,0,0,0,0,2853192994,2522026452.0,2160906943.0,687243463.0,366998019.0,329992237.0,18312596.0,13709721.0,3092444.0,5241,3329,738,618,8570,1356,8273,1303,197,52,100,1,465,96,7204,1217,2942,737,105,0,484,3,4138,573
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,64.83,15,Engineering,79785921,108122599,42565586,0,0,0,1243910,189722,8144629,0,0,0,0,0,0,1710510938,1535808218.0,1512006310.0,942376807.0,890268162.0,938983552.0,20185709.0,9972172.0,276014.0,3360,798,566,102,4158,668,312,64,3846,599,0,5,282,0,2096,356,4,5,2148,147,0,0,226,204
IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,64.72,16,Engineering,47193543,33385164,36437471,0,0,0,1202619,0,0,0,0,0,0,0,0,667850076,558261242.0,484268298.0,569258068.0,439197669.0,419015875.0,24535200.0,8881716.0,28332484.0,1067,276,281,89,1343,370,215,33,1127,330,1,7,206,0,692,155,30,0,540,67,0,0,328,88
