Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-L-U-0238,National Law School of India University,Bengaluru,Karnataka,83.83,1,Law,11535664,4049606,3836852,0,0,0,0,0,0,0,0,0,37223557,16520075,7503827,208287701,191064956.0,152035243.0,0.0,0.0,0.0,0.0,0.0,0.0,357,226,75,55,583,130,94,32,478,98,11,0,115,30,169,59,26,10,9,2,17,2,232,75
IR-L-U-0111,National Law University,New Delhi,Delhi,77.48,2,Law,6103963,7019238,3805718,25944580,2491387,1176061,0,0,0,0,0,0,2125667,3737081,0,180603873,150594128.0,143247548.0,230062053.0,192571975.0,212522076.0,2820492.0,1654341.0,1611239.0,316,222,38,43,538,81,62,28,435,52,41,1,33,7,179,31,16,2,0,0,0,0,196,36
IR-L-N-18,Nalsar University of Law,Hyderabad,Telangana,77.05,3,Law,5532414,38881995,38927552,389567,9774824,6547970,0,0,0,0,0,0,80372396,12141860,13422736,215777148,173776615.0,107877887.0,154064868.0,95978022.0,220229933.0,1128800.0,705647.0,1590672.0,367,307,40,31,674,71,143,14,452,55,79,2,62,6,165,27,25,2,25,8,8,0,169,23
IR-L-U-0585,The West Bengal National University of Juridical Sciences,Kolkata,West Bengal,76.39,4,Law,22111191,59026492,14255950,4976319,19174056,10163462,0,0,0,0,0,0,35544695,38933,4561359,206271320,227119465.0,146601907.0,44523196.0,40112587.0,49751205.0,3975260.0,539616.0,576137.0,430,215,63,37,645,100,153,22,492,78,0,0,0,0,125,31,13,5,81,7,20,0,11,19
IR-L-C-19328,Symbiosis Law School,Pune,Maharashtra,74.62,5,Law,45117341,40157154,28071618,9013306,8455099,5443163,0,0,0,0,0,0,3992601,2392781,2200145,0,0.0,0.0,308939210.0,266595898.0,231232989.0,13438343.0,6435173.0,4151408.0,872,1176,39,69,2048,108,424,37,1470,70,154,1,16,0,291,22,43,4,247,1,9,0,8,17
IR-L-U-0108,Jamia Millia Islamia,New Delhi,Delhi,73.12,6,Law,1474719,1019608,1137935,2100847,2089571,1601320,0,0,0,0,0,0,305038,480113,108000,68756717,61942984.0,54106545.0,19989333.0,18632148.0,9015221.0,795857.0,62585.0,50000.0,152,157,29,33,309,62,42,8,241,51,26,3,225,48,54,12,153,30,61,24,65,6,0,0
IR-L-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,71.47,7,Law,3411450,2529773,3000537,10127436,7226927,9019333,0,0,0,0,0,0,8624505,3022136,2084975,94884137,84688648.0,75070360.0,33012888.0,43541536.0,41483291.0,892570.0,311990.0,367656.0,87,24,18,34,111,52,10,8,101,44,0,0,5,1,32,26,12,11,0,0,0,0,25,16
IR-L-U-0134,Gujarat National Law University,Gandhinagar,Gujarat,69.56,8,Law,13726649,12615841,10763387,3790800,0,0,0,0,0,0,0,0,25014160,16203279,9482643,162470451,173729882.0,127509650.0,177241303.0,54693332.0,69264897.0,25698289.0,21892767.0,1342028.0,539,455,31,34,994,65,227,15,764,50,3,0,52,5,284,26,21,0,54,6,17,0,244,25
IR-L-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,65.4,9,Law,3919841,2133401,3034318,2038290,1826058,2582922,0,0,0,0,0,0,45277651,40210446,30813408,87763201,78323090.0,74067838.0,73818688.0,67828591.0,58578333.0,2851203.0,1707932.0,1663172.0,499,723,34,41,1222,75,234,22,979,53,9,0,46,3,153,9,0,0,96,2,0,0,103,10
IR-L-U-0498,Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,64.96,10,Law,4850000,4534000,4034000,315000,235600,286500,0,0,0,0,0,0,2119400,2015200,1438590,26491595,24758500.0,20235000.0,2474200.0,2202500.0,2054580.0,712000.0,648200.0,520900.0,0,0,30,46,0,76,0,28,0,48,0,0,0,15,0,50,0,21,0,44,0,0,0,0
