Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-M-S-8890,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,83.32,1,Management,119220285,105659962,117670197,0,0,0,0,0,0,0,0,0,0,0,0,1418107001,1547799306,906235814,1163105040,846735938,752364138,20815747,4219645,3425114,0,0,639,240,0,879,0,43,0,834,0,2,0,26,0,409,0,28,0,0,0,1,0,406
IR-M-S-8903,Indian Institute of Management Bangalore,Bengaluru,Karnataka,81.16,2,Management,110473323,111130300,97334837,0,0,0,0,0,0,0,0,0,0,0,0,1348763225,1040247924,810138572,1511384981,1035043627,1019648968,18594865,10276455,9655138,0,0,717,336,0,1053,0,41,0,1012,0,0,0,82,0,509,0,44,0,13,0,40,0,494
IR-M-S-8909,Indian Institute of Management Kozhikode,Kozhikode,Kerala,77.9,3,Management,88006504,108686220,90121571,0,0,0,0,0,0,0,0,0,0,0,0,719684756,550875441,502522705,1159928102,840290093,630373146,12364142,29763138,14490779,0,0,664,495,0,1159,0,68,0,1085,0,6,0,81,0,553,0,60,0,57,0,0,0,517
IR-M-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,76.25,4,Management,11215049,7873774,18939202,0,0,0,0,0,0,0,0,0,0,0,0,84239787,91810313,80897790,162789453,51662862,21081169,1133128,2249878,1224834,0,0,162,81,0,243,0,28,0,210,0,5,0,29,0,110,0,70,0,2,0,0,0,67
IR-M-S-8972,Indian Institute of Management Calcutta,Kolkata,West Bengal,75.07,5,Management,36800000,34300000,58100000,0,0,0,0,0,0,0,0,0,0,0,0,351500000,335000000,339400000,1070700000,1210600000,885300000,56283263,37800000,23000000,0,0,789,282,0,1071,0,95,0,976,0,0,0,30,0,526,0,26,0,22,0,0,0,508
IR-M-S-8931,Indian Institute of Management Mumbai,Mumbai,Maharashtra,74.73,6,Management,63972361,54588945,54517816,0,0,0,0,0,0,0,0,0,0,0,0,520791354,521312035,486720686,752443324,634799097,433857046,29722656,21004466,14604669,0,0,685,341,0,1026,0,42,0,984,0,0,0,86,0,521,0,37,0,61,0,56,0,453
IR-M-S-8959,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,74.43,7,Management,84936889,73446946,64978645,0,0,0,0,0,0,0,0,0,0,0,0,618481846,501286490,397359689,982366966,706400003,616143247,86179669,64882451,54562580,0,0,880,347,0,1227,0,138,0,1089,0,0,0,125,0,591,0,27,0,76,0,26,0,587
IR-M-S-8918,Indian Institute of Management Indore,Indore,Madhya Pradesh,73.53,8,Management,82139000,73319000,64907000,0,0,0,0,0,0,0,0,0,0,0,0,853294000,770126000,709954000,763033000,459477000,350435000,16198000,4805353,354000,0,0,806,442,0,1248,0,64,0,1182,0,2,0,52,0,639,0,58,0,28,0,27,0,578
IR-M-S-132,XLRI - Xavier School of Management,Jamshedpur,Jharkhand,68.13,9,Management,77162940,58511256,59346588,0,0,0,0,0,0,0,0,0,0,0,0,622256250,506095294,452596124,1257992007,509639918,823796235,23264941,11704977,6738575,0,0,481,314,0,795,0,40,0,754,0,1,0,0,0,43,0,0,0,0,0,0,0,43
IR-M-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,67.16,10,Management,34429729,19760577,15852381,0,0,0,0,0,0,0,0,0,0,0,0,185360147,144868669,1142543901,1333592026,1238639035,885704844,0,0,0,0,0,316,67,0,383,0,123,0,257,0,3,0,0,0,53,0,25,0,0,0,0,0,28
