Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-O-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,86.42,1,Overall,191765768,232093405,223423554,5114315121,4475051053,1473301948,35946386,16830244,4717584,7825561,53944831,36332014,850240751,1066955804,59378253,5424786320,6565874098.0,5622264643.0,8669739543.0,7557097089.0,4595605367.0,151561504.0,108400586.0,110595144.0,3940,969,1812,402,4909,2214,950,294,3957,1865,2,55,580,729,2499,1043,258,25,2367,1544,387,138,67,65
IR-O-U-0220,"Indian Institute of Science, Bengaluru",Bengaluru,Karnataka,83.28,2,Overall,202533939,338527338,162497776,1299078359,1453587730,1662208873,93480412,32057107,16537825,0,2368699,0,0,0,0,5136049939,4102153668.0,4083641812.0,1828614204.0,1250256552.0,1317385662.0,39993362.0,3626240.0,4816410.0,463,76,1034,220,539,1254,75,79,453,1167,11,8,44,159,269,577,0,0,0,0,105,211,208,525
IR-O-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,81.37,3,Overall,60655438,395211540,317047623,3091659479,859086724,922913433,82044432,99980000,11208500,0,0,0,0,0,0,6581612412,6070571682.0,5583221475.0,3380913236.0,2978397843.0,2588075180.0,22683371.0,9177625.0,20859647.0,4836,1127,2452,499,5963,2951,1788,595,4142,2296,33,60,483,140,3079,1304,1414,503,748,170,234,0,1166,771
IR-O-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,80.31,4,Overall,187521973,191213021,184745725,2615655221,2374297516,1607295909,2429151,44456874,3399314,2124700,43928631,2635314,2857555221,1476113707,914195061,0,0.0,0.0,3957679475.0,3710748858.0,3658556787.0,183435548.0,4904145.0,6573578.0,4011,960,2912,656,4971,3568,479,224,4491,3265,1,79,423,277,2577,1446,126,147,1960,568,235,63,679,945
IR-O-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,77.56,5,Overall,202200000,184609000,179800000,1096200000,640307900,878085000,120140000,107318500,97200000,6113000,5674000,5334000,150260000,137621500,103820000,3543190000,3183924000.0,3128100000.0,4670560000.0,3967440000.0,4013500000.0,52180000.0,47800000.0,52500000.0,3540,870,1529,279,4410,1808,964,468,3446,1328,0,12,410,175,2203,854,778,117,1743,833,0,0,92,79
IR-O-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,74.77,6,Overall,256500000,189496133,224759338,761461375,543377993,678145351,0,3374185,0,2300000,3882469,920000,648459019,219791746,151634535,7134146302,6367568115.0,5644388548.0,2482172231.0,3237288905.0,3084259550.0,67110522.0,23457891.0,27643282.0,6872,1417,2973,681,8289,3654,1022,796,7242,2825,25,33,644,319,4183,1894,4115,2193,0,0,0,0,712,20
IR-O-N-15,All India Institute of Medical Sciences Delhi,New Delhi,Delhi,74.27,7,Overall,314194886,69800856,166900000,2812737656,4390237745,4164700000,0,0,0,0,0,0,0,0,0,22354495136,20097015363.0,17601000000.0,13110886380.0,11599119623.0,9738200000.0,160099955.0,21267185.0,4800000.0,688,622,1027,844,1310,1871,203,262,1064,1557,43,52,98,99,636,508,0,0,0,0,0,0,734,607
IR-O-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,71.52,8,Overall,154362057,265750001,154688000,793642966,781519626,618952819,12625688,17442828,18388486,202952,494000,1342343,507825017,328517202,123758179,3907376482,3388274784.0,2746988269.0,1409765421.0,1194098948.0,918394657.0,95008795.0,16575462.0,8871542.0,3623,875,1262,339,4498,1601,127,69,4365,1394,6,138,393,163,2254,729,16,2,1629,322,1,0,1001,568
IR-O-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,69.04,9,Overall,212549726,122976870,119566922,570399409,317904320,473723128,15231760,14081657,15072578,0,0,0,678150953,689764913,72754710,1835256296,1748454897.0,1815640434.0,1026826502.0,810328532.0,1700086514.0,85410030.0,12338782.0,11850148.0,2985,792,1521,380,3777,1901,126,118,3638,1771,13,12,341,154,1888,837,1399,357,0,0,0,0,830,634
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,68.53,10,Overall,13389021,8269264,5669503,14575090,18145270,48577260,0,0,0,0,0,0,196971437,239215482,222636318,0,0.0,0.0,954902450.0,953325482.0,945348184.0,584817.0,3751541.0,961252.0,716,493,1754,1659,1209,3413,65,252,1134,3134,10,27,191,458,711,1972,0,0,0,0,0,0,902,2430
