Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-P-U-0107,Jamia Hamdard,New Delhi,Delhi,84.01,1,Pharmacy,175840,563162,1569105,2800056,917711,8372888,0,0,0,0,0,0,4276520,1523258,1950162,169949118,132766302.0,132882930.0,91323507.0,25604642.0,66997231.0,135652.0,109652.0,707037.0,251,280,90,64,531,154,158,26,287,118,86,10,58,38,99,57,97,88,42,2,18,5,0,0
IR-P-I-1077,National Institute of Pharmaceutical Education and Research Hyderabad,Hyderabad,Telangana,80.29,2,Pharmacy,16424739,9285842,17329025,185383049,89397046,62646590,0,0,0,0,0,0,14265303,11689456,8589689,98361862,80616933.0,67025815.0,207890714.0,335260002.0,290343903.0,2210751.0,1999176.0,1493500.0,0,0,153,213,0,366,0,59,0,307,0,0,0,20,0,208,0,0,0,208,0,0,0,20
IR-P-U-0391,"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,78.95,3,Pharmacy,649027,7249116,7056407,36273136,24450460,22929519,0,0,0,0,0,0,8416646,12639570,7976394,206721041,194321191.0,173880130.0,308679974.0,218973041.0,191327825.0,940582.0,312674.0,722190.0,99,169,65,85,268,150,67,10,198,140,3,0,26,92,30,26,0,0,0,0,0,0,56,118
IR-P-C-35006,JSS College of Pharmacy,Ooty,Tamil Nadu,77.13,4,Pharmacy,4875400,5345600,4646200,10324000,21968000,10861600,0,0,0,0,0,0,54620600,53462238,32810087,145759000,125217000.0,114567000.0,189983000.0,75723000.0,87163000.0,4424000.0,1325000.0,1159000.0,152,274,172,218,426,390,17,22,403,350,6,18,132,122,230,198,88,14,174,64,53,133,47,109
IR-P-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,74.69,5,Pharmacy,9756473,10741137,17811645,18796764,21134987,37522761,0,0,0,0,0,0,7956895,8765774,8276650,54323453,52248371.0,50788490.0,37208187.0,33281662.0,30019865.0,2976254.0,3710342.0,3233500.0,68,64,16,24,132,40,108,28,22,12,2,0,8,0,42,8,14,0,0,0,0,0,36,8
IR-P-C-35007,JSS College of Pharmacy,Mysore,Karnataka,72.89,6,Pharmacy,0,0,0,32284930,20337754,17791170,0,0,0,0,0,0,21175425,16548360,8896722,113965839,121021192.0,111028617.0,112367868.0,81881991.0,67417803.0,12524735.0,4910025.0,2881000.0,185,256,176,264,441,440,184,120,239,289,18,31,96,108,198,134,65,45,43,48,27,92,159,57
IR-P-U-0078,Panjab University,Chandigarh,Chandigarh,72.76,7,Pharmacy,96462,149440,129632,524785,2252556,3499496,0,0,0,0,0,0,1077895,1318967,191743,62459493,61754583.0,57439167.0,38111178.0,50103164.0,8543731.0,32000.0,1193512.0,1557521.0,83,128,63,65,211,128,31,4,161,124,19,0,65,76,45,28,24,100,5,0,20,0,61,4
IR-P-C-7249,"Manipal College of Pharmaceutical Sciences, Manipal",Udupi,Karnataka,72.27,8,Pharmacy,4317055,5910735,94813,0,0,0,0,0,0,0,0,0,0,0,0,144188144,139264064.0,124479117.0,104807725.0,85771680.0,71676595.0,1406673.0,239489.0,1699470.0,189,235,187,246,424,433,163,116,250,291,11,26,50,12,46,27,47,16,49,23,0,0,0,0
IR-P-U-0380,National Institute of Pharmaceutical Education and Research Mohali,Mohali,Punjab,70.86,9,Pharmacy,10905332,287649,0,91221621,89977273,17895278,0,0,0,0,0,0,23906395,17344947,5362786,373021863,336136349.0,339918800.0,89451016.0,86646059.0,60594584.0,7539360.0,78246.0,27800.0,0,0,288,263,0,551,0,20,0,531,0,0,0,62,0,269,0,0,0,111,0,0,0,220
IR-P-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,69.94,10,Pharmacy,4997477,4055756,4015590,4949187,6003492,677741,0,0,0,0,0,0,59992305,49895491,47312318,116322555,101044978.0,87552130.0,0.0,0.0,0.0,0.0,0.0,0.0,37,67,73,98,104,171,62,87,42,84,0,0,16,21,22,43,0,11,0,1,0,0,38,52
IR-P-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,68.9,11,Pharmacy,5137803,3348196,1813339,9388747,6264603,5722987,0,0,0,0,0,0,7089026,5126593,4579437,0,0.0,0.0,52663897.0,30627275.0,27581015.0,9474805.0,6941190.0,5016185.0,221,181,200,170,402,370,247,297,147,67,8,6,35,28,107,94,0,0,52,28,0,0,90,94
