Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,78.14,1,State Public University,45053544,42875287,31882972,192178059,253732514,477006385,0,0,0,0,0,0,26441907,15095120,189446122,2965738148,2611261352.0,2242227420.0,689783304.0,370650016.0,330968722.0,18785348.0,13762213.0,3106244.0,5385,3574,1150,912,8959,2062,8656,1967,202,94,101,1,481,148,7539,1844,3027,869,108,0,489,3,4396,1120
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,77.74,2,State Public University,85546840,118897218,138508193,80991182,59161771,254335701,0,0,0,0,0,0,46580795,8943698,22776848,2053921331,2015559780.0,2092599971.0,1580144069.0,1216019531.0,1229218844.0,10677522.0,11909721.0,18149836.0,5673,1724,1625,1372,7397,2997,7031,2835,360,158,6,4,1725,1246,3107,1312,3623,1813,835,618,221,114,153,13
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,70.26,3,State Public University,15483337,9535028,14068738,47769484,53917403,75937872,0,0,0,0,0,0,149195803,118459793,161165747,1419000336,1364880183.0,1280845650.0,1712012342.0,1182345720.0,1417570065.0,0.0,0.0,0.0,600,478,2523,2135,1078,4658,906,3935,95,633,77,90,65,369,414,2422,479,2791,0,0,0,0,0,0
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,68.96,4,State Public University,5555366,6673450,142328767,21262211,1899935,602539821,0,0,0,0,0,0,99542741,866493,300729185,1804110327,1836977631.0,2398589147.0,0.0,0.0,0.0,0.0,0.0,0.0,1335,885,4634,6428,2220,11062,2059,10940,159,117,2,5,344,5836,514,5171,99,3932,0,3423,0,0,759,3652
IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,67.43,5,State Public University,80185721,324276,1219434,0,0,0,0,0,0,0,0,0,0,0,0,5655246239,5032443503.0,4785125584.0,1189606063.0,1329350192.0,991949281.0,8384773.0,2460256.0,1066933.0,5771,4681,2511,3423,10452,5934,2701,1779,7621,4131,130,24,336,109,3057,1474,1298,667,317,110,92,5,1686,801
IR-O-U-0027,Osmania University,Hyderabad,Telangana,67.2,6,State Public University,13400000,12550000,10900000,86500000,112500000,138191802,0,0,0,0,0,0,30000000,50000000,45000000,5995987000,5420000000.0,4906227157.0,1855650000.0,1500000000.0,1649100000.0,3500000.0,50000000.0,170000000.0,1476,1164,2357,2722,2640,5079,2465,4706,138,248,37,125,264,520,2097,4191,2030,4150,0,0,0,0,331,561
IR-O-U-0006,Andhra University,Visakhapatnam,Andhra Pradesh,65.96,7,State Public University,52572682,40766679,34528660,954634120,718079188,744820978,0,0,0,0,0,0,419767560,381700000,298646810,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1586,2188,2518,3286,3774,5804,2600,4468,904,870,270,466,457,618,2613,3972,2232,3325,455,839,240,232,143,194
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,65.27,8,State Public University,9184552,7282378,5908087,76732259,123631111,112465772,0,0,0,0,0,0,7393562,5921733,1135129,782967318,723176549.0,562117333.0,597111023.0,221205684.0,462555000.0,4527989.0,8523047.0,5151013.0,322,151,1015,1687,473,2702,454,2478,19,217,0,7,10,118,441,2419,105,576,9,80,5,6,332,1875
IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,65.15,9,State Public University,94441104,91242364,100391342,147847409,138377014,386330831,0,0,0,0,0,0,684160010,651838908,573498968,3140612834,2005038699.0,1621993847.0,312305697.0,274193853.0,217420021.0,94074162.0,66953764.0,38721779.0,0,0,916,2427,0,3343,0,2291,0,947,0,105,0,854,0,1483,0,1352,0,941,0,10,0,34
IR-O-U-0253,Cochin University of Science and Technology,Cochin,Kerala,63.21,10,State Public University,33478959,33127079,34078782,239994170,53126381,25054540,0,0,0,0,0,0,50237642,38757126,17294775,2017421882,1900883142.0,1203547573.0,381402411.0,165943678.0,87449700.0,34531795.0,8562360.0,2529769.0,679,381,663,1140,1060,1803,867,1646,182,147,11,10,25,47,620,1102,329,723,11,40,39,43,266,343
IR-O-U-0262,Mahatma Gandhi University,Kottayam,Kerala,63.04,11,State Public University,20452193,16294722,29951689,0,0,11014558,0,0,0,0,0,0,40785558,20442306,8760822,2464560878,1583147249.0,1949590826.0,181683724.0,56623741.0,31698505.0,0.0,0.0,0.0,64,156,423,772,220,1195,220,1176,0,2,0,17,5,61,96,619,23,473,0,0,0,0,78,207
IR-O-I-1357,University of Madras,Chennai,Tamil Nadu,62.89,12,State Public University,10260000,7008884,5886379,285068000,8609035,40655694,0,0,0,0,0,0,98912000,4643133,1950193,993038188,904785013.0,1001692895.0,514664000.0,724194690.0,34278025.0,13564000.0,1134871.0,4152937.0,0,0,1393,2096,0,3489,0,2999,0,480,0,10,0,519,0,2814,0,693,0,810,0,41,0,1789
IR-O-U-0052,Gauhati University,Guwahati,Assam,62.04,13,State Public University,37606199,34323090,20545060,125952605,38919801,214787900,0,0,0,0,0,0,297562863,284937050,245690678,0,0.0,0.0,443726797.0,267327889.0,281039926.0,14372920.0,8902480.0,8556500.0,617,583,1515,2517,1200,4032,993,3155,205,871,2,6,162,0,604,2139,92,282,369,1337,3,4,302,516
IR-O-U-0196,University of Kashmir,Srinagar,Jammu and Kashmir,61.66,14,State Public University,28179873,29453805,28540888,214768025,217191300,198360341,0,0,0,0,0,0,118035596,100189193,106550126,313168433,2734970580.0,2652323862.0,232281000.0,149786066.0,113328904.0,6673909.0,6787189.0,1786742.0,1051,774,2508,3714,1825,6222,1825,6222,0,0,0,0,1023,3485,712,2427,146,1315,72,278,0,0,1517,4319
IR-O-U-0098,Delhi Technological University,New Delhi,Delhi,61.35,15,State Public University,39921321,24848269,65233769,147431818,112009710,89562408,0,0,0,0,0,0,44492741,32185627,8851921,1426151762,1382880330.0,1185403517.0,0.0,0.0,0.0,0.0,0.0,0.0,9571,1687,917,675,11258,1592,5705,622,5000,926,553,44,236,54,4940,527,2448,211,631,29,62,2,2035,339
IR-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,61.33,16,State Public University,2713000,2408620,2750370,36539014,30315317,16526532,0,0,0,0,0,0,7300000,1901268,2005544,773117000,714016696.0,687094226.0,326089000.0,205017421.0,172573213.0,148086.0,14879.0,325203.0,253,88,966,1211,341,2177,333,2047,8,130,0,0,4,59,337,2054,139,462,0,0,2,27,200,1624
IR-O-U-0435,Alagappa University,Karaikudi,Tamil Nadu,60.15,17,State Public University,343690,549195,1759657,21920880,17033957,73128518,0,0,0,0,0,0,1092535,17129410,12461000,769974705,720795255.0,635958774.0,252486737.0,214074380.0,155799799.0,1719793.0,1262610.0,7290452.0,521,426,903,1871,947,2774,938,2696,5,72,4,6,448,1241,477,1380,156,314,0,0,0,6,769,2301
IR-O-U-0318,Mumbai University,Mumbai,Maharashtra,58.75,18,State Public University,25687600,48910526,122236724,206647011,197743111,81576801,0,0,0,0,0,0,138289047,83848014,162685745,2326795820,2124373377.0,1584252046.0,2850474733.0,2336061100.0,2690615875.0,27579731.0,24960173.0,10656269.0,652,635,2705,3134,1287,5839,1106,5537,69,253,112,49,47,1296,368,3777,315,3749,66,718,17,74,17,532
IR-O-U-0235,Mysore University,Mysuru,Karnataka,58.29,19,State Public University,4000597,2737368,2589678,93237531,76638190,99756060,0,0,0,0,0,0,411513741,308270570,231074388,2437350351,2322708718.0,1678465193.0,379161767.0,325000255.0,242431944.0,6923159.0,3011214.0,822190.0,332,258,3293,2671,590,5964,487,4688,103,1170,0,106,0,0,295,2982,295,2982,0,0,0,0,0,0
IR-O-U-0003,Acharya Nagarjuna University,Guntur,Andhra Pradesh,58.28,20,State Public University,19290000,18872800,19935500,218145000,213186500,199954350,0,0,0,0,0,0,39686000,31236500,29955350,1486069000,1259585500.0,1098955355.0,243741000.0,258535750.0,247354431.0,23286000.0,26572350.0,25566550.0,922,1112,1442,1751,2034,3193,1303,2463,628,594,103,136,909,1548,1125,1645,1938,3132,0,0,0,0,96,61
IR-O-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,57.33,21,State Public University,10703997,43881570,48661567,10839774,9015218,8565863,0,0,0,0,0,0,47997624,65484850,15756434,943920716,858488377.0,705663420.0,998956781.0,915335741.0,868003271.0,13564534.0,11181770.0,10131251.0,1974,867,468,701,2841,1169,2000,807,797,347,44,15,166,25,899,141,1,5,185,12,0,3,879,146
IR-O-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,57.18,22,State Public University,223009594,17776824,21292587,104914688,66693609,57227559,0,0,0,0,0,0,295169153,62522486,193887793,600092525,466735731.0,449553905.0,601457478.0,899468911.0,768736109.0,10130000.0,2408800.0,1865743.0,264,262,893,961,526,1854,526,1849,0,5,0,0,150,127,329,904,85,252,0,72,0,12,394,695
IR-O-U-0195,University of Jammu,Jammu,Jammu and Kashmir,55.79,23,State Public University,24037492,19743419,14499960,39511142,38182882,42680503,0,0,0,0,0,0,32978079,21899891,10972108,2806483036,2231394000.0,1903676000.0,244061191.0,175559245.0,163400000.0,0.0,0.0,0.0,272,306,1270,2328,578,3598,556,3541,22,57,0,0,62,254,112,926,110,761,34,308,0,0,30,111
IR-O-U-0215,Bangalore University,Bengaluru,Karnataka,55.59,24,State Public University,8984036,22163849,5975198,7786984,5874000,1583819,0,0,0,0,0,0,39003259,31016000,64034000,0,0.0,0.0,409571000.0,38100000.0,4677978.0,25225000.0,48617000.0,40960000.0,1073,1439,1646,2273,2512,3919,2214,3527,298,230,0,162,404,431,1314,3037,952,3017,345,312,178,98,243,41
IR-O-U-0470,Periyar University,Salem,Tamil Nadu,55.34,25,State Public University,7197392,6099861,5913277,7518390,22018427,16617124,0,0,0,0,0,0,10900051,93455164,3422428,399010582,338046208.0,332711907.0,0.0,0.0,0.0,0.0,0.0,0.0,177,219,620,1154,396,1774,390,1735,6,39,0,0,157,250,239,1485,239,1485,129,54,15,75,13,121
IR-O-U-0463,Madurai Kamaraj University,Madurai,Tamil Nadu,54.66,26,State Public University,1316557,850879,297143,56585732,59004010,48438688,0,0,0,0,0,0,9784123,2300000,5367588,644022269,647896413.0,532944703.0,171687946.0,169660233.0,338634359.0,5925049.0,1191755.0,4078326.0,0,0,914,865,0,1779,0,1641,0,138,0,0,0,171,0,1583,0,363,0,23,0,5,0,1363
IR-O-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,54.38,27,State Public University,48390040,41259490,33352698,455841197,406162105,549999448,0,0,0,0,0,0,650582434,71525593,77804113,6997070273,4426779420.0,5355068794.0,4482532217.0,463305745.0,341934116.0,19793733.0,2789772.0,18779259.0,927,645,479,523,1572,1002,1345,711,224,291,3,0,54,66,909,493,909,493,0,0,0,0,54,66
IR-O-U-0051,Dibrugarh University,Dibrugarh,Assam,54.01,28,State Public University,19380368,10876836,3585841,21599617,10325056,2095480,0,0,0,0,0,0,0,0,0,902199769,989977862.0,902403432.0,188348708.0,112357580.0,148313645.0,3475086.0,3674894.0,4141165.0,997,678,1112,1749,1675,2861,1603,2755,66,97,6,9,56,193,708,1796,55,267,0,27,4,0,705,1695
IR-O-U-0136,Gujarat University,Ahmedabad,Gujarat,53.99,29,State Public University,15802607,13708738,19703648,96504030,82503457,46598389,0,0,0,0,0,0,125143109,112210952,230592718,781111976,765435395.0,561707786.0,432441605.0,236973909.0,698041510.0,14163687.0,12006713.0,60989172.0,0,0,1219,2318,0,3537,0,2623,0,498,0,416,0,349,0,1811,0,2144,0,16,0,0,0,0
IR-O-U-0381,Punjab Agricultural University,Ludhiana,Punjab,53.94,30,State Public University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5061818679,4718723938.0,4590633858.0,53011426.0,61466476.0,85339445.0,53975971.0,36035116.0,26105899.0,1324,1177,399,501,2501,900,2405,773,67,124,29,3,186,10,707,156,261,43,119,28,0,0,513,95
IR-O-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,53.77,31,State Public University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5358440784,5503042188.0,6101503048.0,131807702.0,147121634.0,1463616402.0,2255988.0,2660952.0,844512.0,4659,3076,1925,1655,7735,3580,7718,3527,15,44,2,9,0,0,7581,3494,1668,769,0,0,0,0,5913,2725
