Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-O-U-0220,"Indian Institute of Science, Bengaluru",Bengaluru,Karnataka,83.29,1,University,202533939,338527338,162497776,1299078359,1453587730,1662208873,93480412,32057107,16537825,0,2368699,0,0,0,0,5136049939,4102153668.0,4083641812.0,1828614204.0,1250256552.0,1317385662.0,39993362.0,3626240.0,4816410.0,463,76,1034,220,539,1254,75,79,453,1167,11,8,44,159,269,577,0,0,0,0,105,211,208,525
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,69.8,2,University,13389021,8269264,5669503,14575090,18145270,48577260,0,0,0,0,0,0,196971437,239215482,222636318,0,0.0,0.0,954902450.0,953325482.0,945348184.0,584817.0,3751541.0,961252.0,716,493,1754,1659,1209,3413,65,252,1134,3134,10,27,191,458,711,1972,0,0,0,0,0,0,902,2430
IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,68.11,3,University,0,0,0,60998918,145137265,69815000,4554615,3956019,2295180,1445354,581920,365868,153062236,44956077,4500000,4422822436,4651995309.0,4128129000.0,2152570384.0,1542906463.0,687828000.0,8010831.0,4998272.0,6925000.0,2850,2997,1370,1513,5847,2883,738,334,4741,2397,368,152,4588,2247,916,391,3710,1497,1151,750,636,369,7,22
IR-O-U-0234,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,67.18,4,University,357549327,278739164,246673360,0,0,0,0,0,0,0,0,0,0,0,0,8053308454,7134071485.0,6096476843.0,10582035941.0,8338859218.0,7592859041.0,71791417.0,26027749.0,15657781.0,10527,8075,2392,3382,18602,5774,4042,1819,14216,3907,344,48,1029,590,1096,336,117,6,1203,247,0,0,805,673
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,66.05,5,University,76505317,18579661,35324348,716048897,890629838,273419127,20131923,28097143,0,0,0,0,254269584,214456345,288312134,16202283739,13112615287.0,11789690050.0,6168115794.0,4973468020.0,948647827.0,104822367.0,1474092.0,1925422.0,10568,7438,6640,4820,18006,11460,9959,6506,7745,4807,302,147,1801,1147,9163,5975,5325,2070,14,1,119,34,5506,5017
IR-O-U-0120,University of Delhi,Delhi,Delhi,65.9,6,University,341723984,31434945,12721111,265608758,178906415,241975859,889381,926421,71390,0,0,0,226938232,151202622,333400689,10393472688,8052731159.0,5057488618.0,2932790313.0,2178649849.0,1700512017.0,7470928.0,1602729.0,2691879.0,698,568,11621,10007,1266,21628,221,5919,1018,15488,27,221,79,1896,519,9670,9,322,48,1334,0,1,541,9909
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,65.73,7,University,326785511,312632511,232721478,649470796,1585279751,1460868587,257584479,718872552,137607540,3706360,7236465,391181,2727163555,416220662,410402023,5100302169,4488789410.0,4305963034.0,2981516633.0,3860192896.0,3417902784.0,72786927.0,49952693.0,110245843.0,11905,6610,1777,2224,18515,4001,1639,678,16697,3300,179,23,4138,785,7577,1864,36,20,3799,1337,4,1,7876,1291
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,65.57,8,University,20356607,22280194,47125815,125079979,211659826,80433284,1764152,714321,394072,569300,640000,0,139733856,107514290,100927126,11042115889,9546335906.0,9060009060.0,1243064412.0,791018425.0,1077622285.0,9412165.0,6320433.0,2444823.0,8094,4897,3292,2499,12991,5791,8405,3672,4400,2072,186,47,5001,1157,4479,1124,3342,531,797,58,2136,726,3205,966
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,65.39,9,University,85546840,118897218,138508193,80991182,59161771,254335701,513451,323483,742802,0,0,0,46580795,8943698,22776848,2053921331,2015559780.0,2092599971.0,1580144069.0,1216019531.0,1229218844.0,10677522.0,11909721.0,18149836.0,5673,1724,1625,1372,7397,2997,7031,2835,360,158,6,4,1725,1246,3107,1312,3623,1813,835,618,221,114,153,13
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,64.79,10,University,99657033,1772156,35853722,376100040,123067132,121857965,3320766,3942784,3958151,0,0,0,369059441,131909702,230210752,4218743253,3493550840.0,3193908365.0,0.0,0.0,0.0,0.0,0.0,0.0,30609,9958,2792,2114,40567,4906,11953,1977,27167,2885,1447,44,12084,1680,13816,2482,11,0,258,0,0,0,25631,4162
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,64.62,11,University,98948174,81861734,75636419,254874181,396182031,227491199,52310220,43947066,39951878,21911301,28811762,11853385,109152715,60982868,98720365,2321547000,1741154100.0,1346802120.0,2257747057.0,1231532729.0,1348600259.0,8743874.0,6978436.0,11044380.0,5263,4685,435,650,9948,1085,4008,476,5865,577,75,32,527,42,1957,241,26,0,2121,138,336,145,1,0
IR-O-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,64.56,12,University,88929136,77800000,22500000,0,0,0,0,0,0,0,0,0,0,0,0,6758113615,5578155847.0,5619441901.0,7015962566.0,7432303755.0,9617814970.0,11726168.0,15473586.0,11817960.0,26973,20303,3525,2743,47276,6268,9966,2645,36706,3462,604,161,11617,657,16880,3611,40,6,6177,528,825,405,21455,3329
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,63.85,13,University,45053544,42875287,31882972,192178059,253732514,477006385,4330583,1977165,1529555,29170,0,0,26441907,15095120,189446122,2965738148,2611261352.0,2242227420.0,689783304.0,370650016.0,330968722.0,18785348.0,13762213.0,3106244.0,5385,3574,1150,912,8959,2062,8656,1967,202,94,101,1,481,148,7539,1844,3027,869,108,0,489,3,4396,1120
IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,62.61,14,University,98226181,55835036,67415175,1851842747,1622482202,1084174679,174024324,152894711,103604822,106162311,73157406,52241901,309763734,252141834,173065541,3533497705,3204269144.0,2787782867.0,3997169417.0,3391429539.0,2908065011.0,71280074.0,42698311.0,41579301.0,6251,8547,983,1358,14798,2341,2533,455,12040,1863,225,23,1140,157,2023,285,8,2,1338,131,0,0,1817,309
IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,62.53,15,University,209533647,192329314,173546338,833425376,480509828,482187322,169214183,102664704,0,12467581,0,0,712872565,380071240,512817605,4492406967,2938470643.0,2928127124.0,0.0,0.0,0.0,0.0,0.0,0.0,11694,10065,1213,1512,21759,2725,1695,382,19420,2208,644,135,2047,109,4430,858,130,32,3961,726,176,118,2210,91
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,62.31,16,University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4951891949,3775014302.0,3508510129.0,1741064402.0,1081196991.0,1249565398.0,23830215.0,22738869.0,10712048.0,0,0,495,313,0,808,0,261,0,547,0,0,0,16,0,230,0,108,0,0,0,0,0,138
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,62.18,17,University,102482928,29996240,66718482,0,0,0,0,0,0,0,0,0,0,0,0,1717563898,1806287335.0,1835296251.0,766091697.0,65380826.0,69611172.0,13300000.0,334892.0,242850.0,0,0,1534,1181,0,2715,0,632,0,2044,0,39,0,296,0,1563,0,139,0,0,0,0,0,1720
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,61.1,18,University,5555366,6673450,142328767,21262211,1899935,602539821,134942,98464460,118356873,0,0,0,99542741,866493,300729185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335,885,4634,6428,2220,11062,2059,10940,159,117,2,5,344,5836,514,5171,99,3932,0,3423,0,0,759,3652
IR-O-U-0391,"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,60.03,19,University,12267892,122239989,113871031,685633400,412301879,370019485,23591679,27492623,25565901,0,0,0,159091114,213137853,128717098,3907433004,3364082527.0,2805947978.0,3392940317.0,1968054741.0,1659180192.0,17778839.0,1515635.0,2913582.0,10842,1881,1331,499,12723,1830,2575,312,9686,1518,462,0,1532,769,676,313,1,0,9,0,0,0,2198,1082
