Institute ID,Name,City,State,Score,Rank,Stream
IR-C-C-6377,Hindu College,Delhi,Delhi,74.47,1,College
IR-C-C-6355,Miranda House,Delhi,Delhi,73.22,2,College
IR-C-C-22470,St. Stephens's College,Delhi,Delhi,72.97,3,College
IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,Kolkata,West Bengal,72.97,3,College
IR-C-C-22462,Atma Ram Sanatan Dharm College,New Delhi,Delhi,72.59,5,College
IR-C-C-11881,St. Xavier`s College,Kolkata,West Bengal,72.15,6,College
IR-C-C-41046,PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,72.09,7,College
IR-C-C-44006,Loyola College,Chennai,Tamil Nadu,70.74,8,College
IR-C-C-6385,Kirori Mal College,Delhi,Delhi,69.86,9,College
IR-C-C-6415,Lady Shri Ram College for Women,New Delhi,Delhi,69.49,10,College
IR-C-C-41124,PSG College of Arts and Science,Coimbatore,Tamil Nadu,69.06,11,College
IR-C-C-6425,Hans Raj College,Delhi,Delhi,68.76,12,College
IR-C-C-43921,Presidency College,Chennai,Tamil Nadu,68.36,13,College
IR-C-C-43965,Madras Christian College,Chennai,Tamil Nadu,67.41,14,College
IR-C-C-36513,Thiagarajar College,Madurai,Tamil Nadu,66.82,15,College
IR-C-C-6409,Deshbandhu College,New Delhi,Delhi,66.03,16,College
IR-C-C-11926,Ramakrishna Mission Vidyamandira,Howrah,West Bengal,65.51,17,College
IR-C-C-6380,Acharya Narendra Dev College,New Delhi,Delhi,64.73,18,College
IR-C-C-6419,Shri Ram College of Commerce,Delhi,Delhi,64.56,19,College
IR-C-C-11691,Rajagiri College of Social Sciences,Ernakulam,Kerala,64.22,20,College
IR-C-C-6369,Sri Venkateswara College,Delhi,Delhi,63.98,21,College
IR-C-C-43671,"University College, Thiruvananthapuram",Thiruvananthapuram,Kerala,63.65,22,College
IR-C-C-27608,Lady Irwin College,Delhi,Delhi,63.27,23,College
IR-C-C-42814,Ramakrishna Mission Residential College,Kolkata,West Bengal,62.78,24,College
IR-C-C-35860,"St. Joseph's College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,62.73,25,College
IR-C-C-6361,Deen Dayal Upadhyaya College,New Delhi,Delhi,62.47,26,College
IR-C-C-6387,Bhaskaracharya College of Applied Sciences,New Delhi,Delhi,61.55,27,College
IR-C-C-41157,V.O. Chidambaram College,Thoothukudi,Tamil Nadu,60.8,28,College
IR-C-C-6391,Maitreyi College,New Delhi,Delhi,59.6,29,College
