Institute ID,Name,City,State,Score,Rank,Stream
IR-L-U-0238,National Law School of India University,Bengaluru,Karnataka,83.83,1,Law
IR-L-U-0111,National Law University,New Delhi,Delhi,77.48,2,Law
IR-L-N-18,Nalsar University of Law,Hyderabad,Telangana,77.05,3,Law
IR-L-U-0585,The West Bengal National University of Juridical Sciences,Kolkata,West Bengal,76.39,4,Law
IR-L-C-19328,Symbiosis Law School,Pune,Maharashtra,74.62,5,Law
IR-L-U-0108,Jamia Millia Islamia,New Delhi,Delhi,73.12,6,Law
IR-L-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,71.47,7,Law
IR-L-U-0134,Gujarat National Law University,Gandhinagar,Gujarat,69.56,8,Law
IR-L-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,65.4,9,Law
IR-L-U-0498,Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,64.96,10,Law
IR-L-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,63.6,11,Law
IR-L-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,63.54,12,Law
IR-L-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,61.58,13,Law
IR-L-U-0476,Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,60.65,14,Law
IR-L-U-0217,Christ University,Bengaluru,Karnataka,59.39,15,Law
IR-L-C-23907,Dr. B. R. Ambedkar College of Law,Visakhapatnam,Andhra Pradesh,58.75,16,Law
IR-L-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,58.68,17,Law
IR-L-U-0213,Alliance University,Bengaluru,Karnataka,56.72,18,Law
IR-L-U-0379,Lovely Professional University,Phagwara,Punjab,56.71,19,Law
IR-L-U-0511,Dr. Ram Manohar Lohiya National Law University,Lucknow,Uttar Pradesh,55.92,20,Law
IR-L-U-0285,"National Law Institute University, Bhopal",Bhopal,Madhya Pradesh,55.64,21,Law
IR-L-U-0600,National University of Study and Research in Law,Ranchi,Jharkhand,55.52,22,Law
IR-L-U-0524,University of Lucknow,Lucknow,Uttar Pradesh,55.05,23,Law
IR-L-U-0386,The Rajiv Gandhi National University of Law,Patiala,Punjab,54.7,24,Law
IR-L-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,54.54,25,Law
IR-L-U-0358,"National Law University, Cuttack",Cuttack,Odisha,54.49,26,Law
IR-L-U-0677,National Law University and Judicial Academy,Kamrup,Assam,53.39,27,Law
IR-L-U-0564,UPES,Dehradun,Uttarakhand,52.92,28,Law
IR-L-U-0749,"Manipal University, Jaipur",Jaipur,Rajasthan,52.23,29,Law
IR-L-C-22215,Army Institute of Law,Mohali,Punjab,52.11,30,Law
IR-L-U-0886,Maharashtra National Law University Mumbai,Mumbai,Maharashtra,51.7,31,Law
IR-L-U-0063,Chanakya National Law University,Patna,Bihar,51.7,31,Law
IR-L-U-0155,"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,51.68,33,Law
IR-L-U-0880,"Maharashtra National Law University, Nagpur",Nagpur,Maharashtra,51.43,34,Law
IR-L-U-0103,Indian Law Institute,New Delhi,Delhi,50.25,35,Law
IR-L-U-0012,"ICFAI Foundation for Higher Education, Hyderabad",Hyderabad,Telangana,49.87,36,Law
IR-L-U-0011,Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,48.49,37,Law
IR-L-U-0264,National University of Advanced Legal Studies (NUALS),Kochi,Kerala,47.96,38,Law
IR-L-I-1291,Damodaram Sanjivayya National Law University,Visakhapatnam,Andhra Pradesh,47.94,39,Law
IR-L-U-0779,Amity University,North Twenty Four Parganas,West Bengal,47.94,39,Law
