Institute ID,Name,City,State,Score,Rank,Stream
IR-M-S-8890,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,83.32,1,Management
IR-M-S-8903,Indian Institute of Management Bangalore,Bengaluru,Karnataka,81.16,2,Management
IR-M-S-8909,Indian Institute of Management Kozhikode,Kozhikode,Kerala,77.9,3,Management
IR-M-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,76.25,4,Management
IR-M-S-8972,Indian Institute of Management Calcutta,Kolkata,West Bengal,75.07,5,Management
IR-M-S-8931,Indian Institute of Management Mumbai,Mumbai,Maharashtra,74.73,6,Management
IR-M-S-8959,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,74.43,7,Management
IR-M-S-8918,Indian Institute of Management Indore,Indore,Madhya Pradesh,73.53,8,Management
IR-M-S-132,XLRI - Xavier School of Management,Jamshedpur,Jharkhand,68.13,9,Management
IR-M-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,67.16,10,Management
IR-M-I-1170,Management Development Institute,Gurugram,Haryana,66.85,11,Management
IR-M-S-8895,Indian Institute of Management Rohtak,Rohtak,Haryana,66.49,12,Management
IR-M-C-19343,Symbiosis Institute of Business Management,Pune,Maharashtra,65.13,13,Management
IR-M-S-8868,Indian Institute of Management Raipur,Raipur,Chhattisgarh,64.4,14,Management
IR-M-U-0102,Indian Institute of Foreign Trade,New Delhi,Delhi,62.36,15,Management
IR-M-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,61.73,16,Management
IR-M-S-8904,Indian Institute of Management Ranchi,Ranchi,Jharkhand,61.27,17,Management
IR-M-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,61.21,18,Management
IR-M-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,61.03,19,Management
IR-M-I-1044,S. P. Jain Institute of Management and Research,Mumbai,Maharashtra,60.97,20,Management
IR-M-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,60.96,21,Management
IR-M-S-8942,Indian Institute of Management Udaipur,Udaipur,Rajasthan,60.93,22,Management
IR-M-S-8967,Indian Institute of Management Kashipur,Kashipur,Uttarakhand,60.82,23,Management
IR-M-S-8937,Indian Institute of Management Shillong,Shillong,Meghalaya,60.49,24,Management
IR-M-U-0108,Jamia Millia Islamia,New Delhi,Delhi,60.32,25,Management
IR-M-U-1007,Indian Institute of Management Visakhapatnam,Visakhapatnam,Andhra Pradesh,59.2,26,Management
IR-M-S-8948,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,57.67,27,Management
IR-M-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,57.4,28,Management
IR-M-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,57.23,29,Management
IR-M-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,57.23,29,Management
IR-M-S-15962,Indian Institute of Management Nagpur,Nagpur,Maharashtra,56.94,31,Management
IR-M-S-14875,MICA,Ahmedabad,Gujarat,56.62,32,Management
IR-M-U-1006,Indian Institute of Management Bodh Gaya,Gaya,Bihar,56.27,33,Management
IR-M-N-16,Great Lakes Institute of Management,Chennai,Tamil Nadu,56.15,34,Management
IR-M-S-394,Institute of Management Technology,Ghaziabad,Uttar Pradesh,56.03,35,Management
IR-M-U-0747,Chandigarh University,Mohali,Punjab,55.71,36,Management
IR-M-S-87,Goa Institute of Management,Sanquelim,Goa,55.67,37,Management
IR-M-U-0379,Lovely Professional University,Phagwara,Punjab,55.49,38,Management
IR-M-U-0012,"ICFAI Foundation for Higher Education, Hyderabad",Hyderabad,Telangana,55.31,39,Management
IR-M-I-1064,International Management Institute,New Delhi,Delhi,54.89,40,Management
IR-M-U-0564,UPES,Dehradun,Uttarakhand,54.82,41,Management
IR-M-U-1004,Indian Institute of Management Jammu (IIMJ),Jammu,Jammu and Kashmir,54.64,42,Management
IR-M-U-0715,XIM University,Bhubaneswar,Odisha,54.49,43,Management
IR-M-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,53.26,44,Management
IR-M-S-3283,Jaipuria Institute of Management,Noida,Uttar Pradesh,53.23,45,Management
IR-M-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,52.78,46,Management
IR-M-S-16881,Indian Institute of Management Amritsar,Amritsar,Punjab,52.57,47,Management
IR-M-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,52.26,48,Management
IR-M-S-92,Institute of Rural Management Anand (IRMA),Anand,Gujarat,51.54,49,Management
IR-M-S-6,Indian Institute of Management Sambalpur,Sambalpur,Odisha,51.47,50,Management
IR-M-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,51.4,51,Management
IR-M-S-17295,Great Lakes Institute of Management,Gurgaon,Haryana,51.35,52,Management
IR-M-I-1066,Fore School of Management,New Delhi,Delhi,51.08,53,Management
IR-M-U-0373,Chitkara University,Rajpura,Punjab,51.02,54,Management
IR-M-U-0146,Nirma University,Ahmedabad,Gujarat,51.01,55,Management
IR-M-I-1408,"International Management Institute, Kolkata",Kolkata,West Bengal,50.97,56,Management
IR-M-S-15911,Indian Institute of Management Sirmaur,Sirmaur,Himachal Pradesh,50.92,57,Management
IR-M-S-156,"T. A. Pai Management Institute, Manipal",Manipal,Karnataka,50.78,58,Management
IR-M-U-0555,Graphic Era University,Dehradun,Uttarakhand,50.59,59,Management
IR-M-U-0217,Christ University,Bengaluru,Karnataka,50.56,60,Management
IR-M-I-1124,"International Management Institute, Bhubaneswar",Bhubaneswar,Odisha,50.38,61,Management
IR-M-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,49.69,62,Management
IR-M-C-56616,K J Somaiya Institute of Management Studies and Research,Mumbai,Maharashtra,49.66,63,Management
IR-M-S-354,Birla Institute of Management Technology,Greater Noida,Uttar Pradesh,49.44,64,Management
IR-M-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,49.4,65,Management
IR-M-S-331,Loyola Institute of Business Administration,Chennai,Tamil Nadu,49.26,66,Management
IR-M-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,49.24,67,Management
IR-M-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,49.14,68,Management
IR-M-U-0439,Anna University,Chennai,Tamil Nadu,48.92,69,Management
IR-M-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,48.68,70,Management
IR-M-U-0213,Alliance University,Bengaluru,Karnataka,48.38,71,Management
IR-M-S-419,"Jaipuria Institute of Management, Lucknow",Lucknow,Uttar Pradesh,48.32,72,Management
IR-M-U-0749,"Manipal University, Jaipur",Jaipur,Rajasthan,48.1,73,Management
IR-M-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,47.92,74,Management
IR-M-S-309,Jaipuria Institute of Management,Jaipur,Rajasthan,47.56,75,Management
IR-M-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,47.55,76,Management
IR-M-U-0223,"Jain University, Bangalore",Bengaluru,Karnataka,47.47,77,Management
IR-M-U-0107,Jamia Hamdard,New Delhi,Delhi,47.39,78,Management
IR-M-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,47.27,79,Management
IR-M-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,47.13,80,Management
IR-M-U-0253,Cochin University of Science and Technology,Cochin,Kerala,47.08,81,Management
IR-M-C-36557,Thiagarajar School of Management,Madurai,Tamil Nadu,47.02,82,Management
IR-M-U-0735,BML Munjal University,Gurgaon,Haryana,46.67,83,Management
