Institute ID,Name,City,State,Score,Rank,Stream
IR-R-U-0220,"Indian Institute of Science, Bengaluru",Bengaluru,Karnataka,84.98,1,Research
IR-R-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,83.29,2,Research
IR-R-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,81.08,3,Research
IR-R-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,77.75,4,Research
IR-R-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,72.65,5,Research
IR-R-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,70.11,6,Research
IR-R-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,70.04,7,Research
IR-R-N-15,All India Institute of Medical Sciences Delhi,New Delhi,Delhi,67.43,8,Research
IR-R-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,66.78,9,Research
IR-R-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,64.94,10,Research
IR-R-U-0713,Academy of Scientific and Innovative Research,Ghaziabad,Uttar Pradesh,64.2,11,Research
IR-R-U-0330,Tata Institute of Fundamental Research,Mumbai,Maharashtra,60.54,12,Research
IR-R-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,60.28,13,Research
IR-R-U-0120,University of Delhi,Delhi,Delhi,60.07,14,Research
IR-R-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,59.96,15,Research
IR-R-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,58.52,16,Research
IR-R-U-0439,Anna University,Chennai,Tamil Nadu,58.39,17,Research
IR-R-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,56.43,18,Research
IR-R-U-0108,Jamia Millia Islamia,New Delhi,Delhi,56.12,19,Research
IR-R-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,55.85,20,Research
IR-R-U-0575,Jadavpur University,Kolkata,West Bengal,54.85,21,Research
IR-R-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,54.77,22,Research
IR-R-U-0234,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,54.31,23,Research
IR-R-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,53.34,24,Research
IR-R-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,53.29,25,Research
IR-R-U-0391,"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,53.06,26,Research
IR-R-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,52.7,27,Research
IR-R-U-0042,University of Hyderabad,Hyderabad,Telangana,51.9,28,Research
IR-R-U-0305,Indian Institute of Science Education and Research Pune,Pune,Maharashtra,51.53,29,Research
IR-R-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,51.16,30,Research
IR-R-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,50.94,31,Research
IR-R-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,50.78,32,Research
IR-R-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,50.38,33,Research
IR-R-U-0224,Jawaharlal Nehru Centre for Advanced Scientific Research,Bengaluru,Karnataka,50.06,34,Research
IR-R-U-0078,Panjab University,Chandigarh,Chandigarh,49.73,35,Research
IR-R-U-0570,Calcutta University,Kolkata,West Bengal,48.57,36,Research
IR-R-U-0101,Indian Agricultural Research Institute,New Delhi,Delhi,48.55,37,Research
IR-R-U-0572,Indian Institute of Science Education and Research Kolkata,Mohanpur,West Bengal,47.31,38,Research
IR-R-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,47.3,39,Research
IR-R-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,46.83,40,Research
IR-R-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,46.79,41,Research
IR-R-U-0237,"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,45.41,42,Research
IR-R-U-0236,"National Institute of Mental Health and Neuro Sciences, Bangalore",Bengaluru,Karnataka,45.18,43,Research
IR-R-U-0379,Lovely Professional University,Phagwara,Punjab,45.01,44,Research
IR-R-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,44.99,45,Research
IR-R-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,44.64,46,Research
IR-R-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,44.57,47,Research
IR-R-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,44.41,48,Research
IR-R-U-0377,Indian Institute of Science Education and Research Mohali,Mohali,Punjab,44.09,49,Research
IR-R-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,43.87,50,Research
