Institute ID,Name,City,State,Score,Rank,Stream
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,78.14,1,State Public University
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,77.74,2,State Public University
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,70.26,3,State Public University
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,68.96,4,State Public University
IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,67.43,5,State Public University
IR-O-U-0027,Osmania University,Hyderabad,Telangana,67.2,6,State Public University
IR-O-U-0006,Andhra University,Visakhapatnam,Andhra Pradesh,65.96,7,State Public University
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,65.27,8,State Public University
IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,65.15,9,State Public University
IR-O-U-0253,Cochin University of Science and Technology,Cochin,Kerala,63.21,10,State Public University
IR-O-U-0262,Mahatma Gandhi University,Kottayam,Kerala,63.04,11,State Public University
IR-O-I-1357,University of Madras,Chennai,Tamil Nadu,62.89,12,State Public University
IR-O-U-0052,Gauhati University,Guwahati,Assam,62.04,13,State Public University
IR-O-U-0196,University of Kashmir,Srinagar,Jammu and Kashmir,61.66,14,State Public University
IR-O-U-0098,Delhi Technological University,New Delhi,Delhi,61.35,15,State Public University
IR-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,61.33,16,State Public University
IR-O-U-0435,Alagappa University,Karaikudi,Tamil Nadu,60.15,17,State Public University
IR-O-U-0318,Mumbai University,Mumbai,Maharashtra,58.75,18,State Public University
IR-O-U-0235,Mysore University,Mysuru,Karnataka,58.29,19,State Public University
IR-O-U-0003,Acharya Nagarjuna University,Guntur,Andhra Pradesh,58.28,20,State Public University
IR-O-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,57.33,21,State Public University
IR-O-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,57.18,22,State Public University
IR-O-U-0195,University of Jammu,Jammu,Jammu and Kashmir,55.79,23,State Public University
IR-O-U-0215,Bangalore University,Bengaluru,Karnataka,55.59,24,State Public University
IR-O-U-0470,Periyar University,Salem,Tamil Nadu,55.34,25,State Public University
IR-O-U-0463,Madurai Kamaraj University,Madurai,Tamil Nadu,54.66,26,State Public University
IR-O-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,54.38,27,State Public University
IR-O-U-0051,Dibrugarh University,Dibrugarh,Assam,54.01,28,State Public University
IR-O-U-0136,Gujarat University,Ahmedabad,Gujarat,53.99,29,State Public University
IR-O-U-0381,Punjab Agricultural University,Ludhiana,Punjab,53.94,30,State Public University
IR-O-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,53.77,31,State Public University
IR-O-U-0524,University of Lucknow,Lucknow,Uttar Pradesh,53.54,32,State Public University
IR-O-C-41593,COEP Technological University,Pune,Maharashtra,53.37,33,State Public University
IR-O-C-6379,Netaji Subhas University of Technology (NSUT),Delhi,Delhi,52.6,34,State Public University
IR-O-I-1280,Maharshi Dayanand University,Rohtak,Haryana,52.45,35,State Public University
IR-O-U-0569,University of Burdwan,Bardhaman,West Bengal,51.44,36,State Public University
IR-O-U-0464,"Manonmaniam Sundaranar University, Tirunelveli",Tirunelveli,Tamil Nadu,51.2,37,State Public University
IR-O-U-0554,G.B. Pant Universtiy of Agriculture and Technology,Pantnagar,Uttarakhand,51.1,38,State Public University
IR-O-U-0037,Sri Venkateswara University,Tirupati,Andhra Pradesh,51.04,39,State Public University
IR-O-U-0739,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,50.58,40,State Public University
IR-O-U-0164,Kurukshetra University,Kurukshetra,Haryana,50.47,41,State Public University
IR-O-U-0366,Utkal University,Bhubaneswar,Odisha,50.27,42,State Public University
IR-O-U-0251,Calicut University,Malappuram,Kerala,50.26,43,State Public University
IR-O-U-0248,University of Agricultural Sciences,Bengaluru,Karnataka,50.19,44,State Public University
IR-O-U-0105,Indraprastha Institute of Information Technology,New Delhi,Delhi,49.79,45,State Public University
IR-O-U-0298,Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Maharashtra,49.54,46,State Public University
IR-O-U-0162,Guru Jambheshwar University of Science and Technology,Hisar,Haryana,49.53,47,State Public University
IR-O-U-0159,Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,48.91,48,State Public University
IR-O-U-0485,Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,48.41,49,State Public University
IR-O-U-0270,Devi Ahilya Vishwavidyalaya,Indore,Madhya Pradesh,48.35,50,State Public University
