Institute ID,Name,City,State,Score,Rank,Stream
IR-D-N-15,All India Institute of Medical Sciences Delhi,New Delhi,Delhi,94.46,1,Medical
IR-D-U-0079,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,80.83,2,Medical
IR-D-C-45654,Christian Medical College,Vellore,Tamil Nadu,75.11,3,Medical
IR-D-U-0236,"National Institute of Mental Health and Neuro Sciences, Bangalore",Bengaluru,Karnataka,71.92,4,Medical
IR-D-U-0368,Jawaharlal Institute of Post Graduate Medical Education and Research,Puducherry,Pondicherry,70.74,5,Medical
IR-D-N-33,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Lucknow,Uttar Pradesh,70.07,6,Medical
IR-D-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,69.54,7,Medical
IR-D-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,68.81,8,Medical
IR-D-C-7242,"Kasturba Medical College, Manipal",Manipal,Karnataka,67.42,9,Medical
IR-D-C-49008,"Madras Medical College and Government General Hospital, Chennai",Chennai,Tamil Nadu,64.12,10,Medical
IR-D-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,64.1,11,Medical
IR-D-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,63.72,12,Medical
IR-D-U-0266,"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram",Thiruvananthapuram,Kerala,63.68,13,Medical
IR-D-U-0691,All India Institute of Medical Sciences Rishikesh,Rishikesh,Uttarakhand,63.16,14,Medical
IR-D-U-0688,All India Institute of Medical Sciences Bhubaneswar,Khordha,Odisha,62.97,15,Medical
IR-D-U-0689,All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,62.57,16,Medical
IR-D-C-32922,Vardhman Mahavir Medical College & Safdarjung Hospital,New Delhi,Delhi,62.36,17,Medical
IR-D-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,62.0,18,Medical
IR-D-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,61.95,19,Medical
IR-D-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,61.62,20,Medical
IR-D-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,61.28,21,Medical
IR-D-C-16428,Institute of Post Graduate Medical Education and Research,Kolkata,West Bengal,60.47,22,Medical
IR-D-U-0295,Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,60.14,23,Medical
IR-D-C-6414,Maulana Azad Medical College,Delhi,Delhi,59.63,24,Medical
IR-D-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,59.6,25,Medical
IR-D-U-0686,All India Institute of Medical Sciences Patna,Patna,Bihar,58.24,26,Medical
IR-D-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,58.07,27,Medical
IR-D-C-40453,St. John's Medical College,Bengaluru,Karnataka,58.03,28,Medical
IR-D-C-22461,Lady Hardinge Medical College,New Delhi,Delhi,57.8,29,Medical
IR-D-C-13844,Armed Force Medical College,Pune,Maharashtra,57.68,30,Medical
IR-D-U-0687,All India Institute of Medical Sciences Bhopal,Bhopal,Madhya Pradesh,57.66,31,Medical
IR-D-I-1409,University College of Medical Sciences,Delhi,Delhi,57.65,32,Medical
IR-D-C-7251,"Kasturba Medical College, Mangalore",Mangaluru,Karnataka,57.12,33,Medical
IR-D-U-0106,Institute of Liver and Biliary Sciences,New Delhi,Delhi,56.89,34,Medical
IR-D-C-29442,Govt. Medical College & Hospital,Chandigarh,Chandigarh,56.53,35,Medical
IR-D-U-0168,Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,56.53,35,Medical
IR-D-U-0107,Jamia Hamdard,New Delhi,Delhi,55.53,37,Medical
IR-D-U-0690,All India Institute of Medical Sciences Raipur,Raipur,Chhattisgarh,55.27,38,Medical
IR-D-C-35009,"JSS Medical College, Mysore",Mysuru,Karnataka,55.0,39,Medical
IR-D-C-29255,Dayanand Medical College,Ludhiana,Punjab,54.48,40,Medical
IR-D-C-45515,PSG Institute of Medical Sciences and Research,Coimbatore,Tamil Nadu,53.11,41,Medical
IR-D-C-48124,"Government Medical College, Thiruvananthapuram",Thiruvananthapuram,Kerala,52.3,42,Medical
IR-D-N-17,Sawai Man Singh Medical College,Jaipur,Rajasthan,51.91,43,Medical
IR-D-C-16424,Medical College,Kolkata,West Bengal,51.87,44,Medical
IR-D-C-5838,Gujarat Cancer and Research Institute,Ahmadabad,Gujarat,51.77,45,Medical
IR-D-C-40345,M. S. Ramaiah Medical College,Bengaluru,Karnataka,51.76,46,Medical
IR-D-C-47762,Mahatma Gandhi Medical College and Research Institute,Puducherry,Pondicherry,51.02,47,Medical
IR-D-C-30588,Osmania Medical College,HYDERABAD,Telangana,50.99,48,Medical
IR-D-C-29209,Christian Medical College,Ludhiana,Punjab,50.96,49,Medical
IR-D-C-30767,Pandit Bhagwat Dayal Sharma University of Health Sciences,Rohtak,Haryana,50.71,50,Medical
