Institute ID,Name,City,State,Score,Rank,Stream
IR-G-U-0101,Indian Agricultural Research Institute,New Delhi,Delhi,87.98,1,Agriculture
IR-G-U-0171,ICAR - National Dairy Research Institute,Karnal,Haryana,71.18,2,Agriculture
IR-G-U-0381,Punjab Agricultural University,Ludhiana,Punjab,69.63,3,Agriculture
IR-G-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,68.32,4,Agriculture
IR-G-U-0518,"Indian Veterinary Research Institute, Izatnagar",Bareilly,Uttar Pradesh,67.76,5,Agriculture
IR-G-U-0485,Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,64.92,6,Agriculture
IR-G-U-0159,Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,63.75,7,Agriculture
IR-G-U-0554,G.B. Pant Universtiy of Agriculture and Technology,Pantnagar,Uttarakhand,61.77,8,Agriculture
IR-G-U-0293,"Central Institute of Fisheries Education, Fishries University",Mumbai,Maharashtra,61.37,9,Agriculture
IR-G-U-0200,Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,Srinagar,Jammu and Kashmir,61.04,10,Agriculture
IR-G-U-0248,University of Agricultural Sciences,Bengaluru,Karnataka,59.13,11,Agriculture
IR-G-C-45375,"National Institute of Food Technology, Entrepreneurship and Management",Thanjavur,Tamil Nadu,56.8,12,Agriculture
IR-G-U-0568,Bidhan Chandra Krishi Vishwavidyalaya,Nadia,West Bengal,56.67,13,Agriculture
IR-G-U-0048,Assam Agricultural University,Jorhat,Assam,55.67,14,Agriculture
IR-G-U-0360,Odisha University of Agriculture and Technology,Khordha,Odisha,55.65,15,Agriculture
IR-G-U-0257,Kerala Agricultural University,Thrissur,Kerala,55.3,16,Agriculture
IR-G-U-0487,Tamil Nadu Veterinary and Animal Sciences University,Chennai,Tamil Nadu,55.19,17,Agriculture
IR-G-U-0181,Dr. Y.S. Parmar University of Horticulture and Forestry,Solan,Himachal Pradesh,54.67,18,Agriculture
IR-G-U-0179,Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya,Kangra,Himachal Pradesh,54.55,19,Agriculture
IR-G-U-0199,Sher-e-Kashmir University of Agricultural Science and Technology of Jammu,Jammu,Jammu and Kashmir,53.91,20,Agriculture
IR-G-S-8898,"National Institute of Food Technology, Enterprenurship and Management",Sonipat,Haryana,52.37,21,Agriculture
IR-G-U-0379,Lovely Professional University,Phagwara,Punjab,51.01,22,Agriculture
IR-G-U-0123,Anand Agricultural University,Anand,Gujarat,50.69,23,Agriculture
IR-G-U-0246,University of Agricultural Sciences,Dharwad,Karnataka,50.52,24,Agriculture
IR-G-U-0375,Guru Angad Dev Veterinary and Animal Sciences University,Ludhiana,Punjab,50.52,24,Agriculture
IR-G-U-0004,Acharya N G Ranga Agricultural University,Guntur,Andhra Pradesh,50.24,26,Agriculture
IR-G-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,49.92,27,Agriculture
IR-G-U-0591,West Bengal University of Animal and Fishery Sciences,Kolkata,West Bengal,48.3,28,Agriculture
IR-G-U-0075,Dr Rajendra Prasad Central Agricultural University,Samastipur,Bihar,47.94,29,Agriculture
IR-G-U-0259,Kerala University of Fisheries and Ocean Studies,Kochi,Kerala,47.84,30,Agriculture
IR-G-U-0336,Central Agricultural University,Imphal West,Manipur,47.53,31,Agriculture
IR-G-U-0665,Tamil Nadu Dr.J.Jayalalithaa Fisheries University,Nagapattinam,Tamil Nadu,46.46,32,Agriculture
IR-G-U-0039,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,46.41,33,Agriculture
IR-G-U-0165,Lala lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,46.17,34,Agriculture
IR-G-U-0145,Navsari Agricultural University,Navsari,Gujarat,45.9,35,Agriculture
IR-G-U-0060,Bihar Agriculture University,Bhagalpur,Bihar,45.69,36,Agriculture
IR-G-U-0784,Professor Jayashankar Telangana State Agricultural University,Hyderabad,Telangana,44.73,37,Agriculture
IR-G-U-0458,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,44.63,38,Agriculture
IR-G-U-0087,Indira Gandhi Krishi Vishwavidyalaya,Raipur,Chhattisgarh,44.14,39,Agriculture
IR-G-U-0587,Uttar Banga Krishi Vishwavidyalaya,Cooch Behar,West Bengal,44.05,40,Agriculture
