Institute ID,Name,City,State,Score,Rank,Stream
IR-A-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,84.92,1,Architecture
IR-A-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,80.71,2,Architecture
IR-A-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,79.51,3,Architecture
IR-A-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,69.71,4,Architecture
IR-A-U-0116,School of Planning and Architecture New Delhi,New Delhi,Delhi,69.0,5,Architecture
IR-A-U-0127,Centre for Environmental Planning and Technology University,Ahmedabad,Gujarat,67.23,6,Architecture
IR-A-U-0108,Jamia Millia Islamia,New Delhi,Delhi,66.21,7,Architecture
IR-A-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,65.08,8,Architecture
IR-A-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,64.88,9,Architecture
IR-A-U-0334,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,63.05,10,Architecture
IR-A-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,61.83,11,Architecture
IR-A-U-0626,School of Planning and Architecture Bhopal,Bhopal,Madhya Pradesh,61.75,12,Architecture
IR-A-U-0747,Chandigarh University,Mohali,Punjab,61.47,13,Architecture
IR-A-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,61.01,14,Architecture
IR-A-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,60.79,15,Architecture
IR-A-U-0627,School of Planning and Architecture Vijayawada,Vijayawada,Andhra Pradesh,60.4,16,Architecture
IR-A-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,60.39,17,Architecture
IR-A-C-43708,"College of Engineering, Trivandrum",Thiruvananthapuram,Kerala,58.4,18,Architecture
IR-A-U-0146,Nirma University,Ahmedabad,Gujarat,57.69,19,Architecture
IR-A-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,57.21,20,Architecture
IR-A-C-1331,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,57.01,21,Architecture
IR-A-U-0461,Dr. M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,56.31,22,Architecture
IR-A-C-57952,BMS College of Architecture,Bengaluru,Karnataka,56.04,23,Architecture
IR-A-U-0379,Lovely Professional University,Phagwara,Punjab,55.86,24,Architecture
IR-A-U-0779,Amity University,North Twenty Four Parganas,West Bengal,54.71,25,Architecture
IR-A-C-26794,Thiagarajar College of Engineering,Madurai,Tamil Nadu,54.71,25,Architecture
IR-A-U-0072,National Institute of Technology Patna,Patna,Bihar,54.19,27,Architecture
IR-A-C-46330,"Manipal School of Architecture and Planning, MAHE",Udupi,Karnataka,53.21,28,Architecture
IR-A-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,52.73,29,Architecture
IR-A-C-29341,"Chandigarh College of Architecture, Sector-12",Chandigarh,Chandigarh,52.6,30,Architecture
IR-A-U-0201,Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,52.59,31,Architecture
IR-A-U-0189,National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,52.58,32,Architecture
IR-A-U-0749,"Manipal University, Jaipur",Jaipur,Rajasthan,51.6,33,Architecture
IR-A-U-0439,Anna University,Chennai,Tamil Nadu,51.16,34,Architecture
IR-A-U-0373,Chitkara University,Rajpura,Punjab,50.96,35,Architecture
IR-A-U-0092,National Institute of Technology Raipur,Raipur,Chhattisgarh,50.63,36,Architecture
IR-A-U-0830,Anant National University,Ahmedabad,Gujarat,49.53,37,Architecture
IR-A-C-47256,"BMS School of Architecture, Yelahanka",Bengaluru,Karnataka,49.47,38,Architecture
IR-A-U-0011,Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,48.99,39,Architecture
IR-A-U-0445,B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,47.53,40,Architecture
