Institute ID,Name,City,State,Score,Rank,Stream
IR-N-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,81.83,1,Dental
IR-N-C-7254,"Manipal College of Dental Sciences, Manipal",Manipal,Karnataka,76.03,2,Dental
IR-N-C-28507,Maulana Azad Institute of Dental Sciences,Delhi,Delhi,74.39,3,Dental
IR-N-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,72.36,4,Dental
IR-N-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,72.25,5,Dental
IR-N-C-19320,A.B.Shetty Memorial Institute of Dental Sciences,Mangaluru,Karnataka,70.14,6,Dental
IR-N-N-352,SRM Dental College,Chennai,Tamil Nadu,69.18,7,Dental
IR-N-U-0108,Jamia Millia Islamia,New Delhi,Delhi,64.38,8,Dental
IR-N-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,63.26,9,Dental
IR-N-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,62.4,10,Dental
IR-N-C-7240,"Manipal College of Dental Sciences, Mangalore",Mangaluru,Karnataka,62.07,11,Dental
IR-N-C-35008,JSS Dental College and Hospital,Mysuru,Karnataka,60.57,12,Dental
IR-N-U-0465,Meenakshi Academy of Higher Education and Research,Chennai,Tamil Nadu,59.07,13,Dental
IR-N-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,58.98,14,Dental
IR-N-C-14033,"Govt. Dental College, Nagpur",Nagpur,Maharashtra,58.5,15,Dental
IR-N-U-0724,M.S. Ramaiah University of Applied Sciences,Bengaluru,Karnataka,57.98,16,Dental
IR-N-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,55.69,17,Dental
IR-N-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,55.33,18,Dental
IR-N-C-40178,"Government Dental College, Bangalore",Bengaluru,Karnataka,54.95,19,Dental
IR-N-U-0461,Dr. M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,54.52,20,Dental
IR-N-C-48122,Government Dental College,Thiruvananthapuram,Kerala,53.91,21,Dental
IR-N-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,53.89,22,Dental
IR-N-C-30756,Postgraduate Institute of Dental Sciences,Rohtak,Haryana,53.78,23,Dental
IR-N-U-0295,Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,53.64,24,Dental
IR-N-C-13829,"Govt. Dental College, Mumbai",Mumbai,Maharashtra,53.54,25,Dental
IR-N-C-8528,Yenepoya Dental College,Mangaluru,Karnataka,53.32,26,Dental
IR-N-U-0078,Panjab University,Chandigarh,Chandigarh,52.99,27,Dental
IR-N-N-153,Nair Hospital Dental College,Mumbai,Maharashtra,52.92,28,Dental
IR-N-C-24504,KLE Vishwanath Katti Institute of Dental Sciences,Belgaum,Karnataka,52.84,29,Dental
IR-N-C-29150,Christian Dental College,Ludhiana,Punjab,52.72,30,Dental
IR-N-N-238,SDM College of Dental Sciences & Hospital,Dharwad,Karnataka,52.67,31,Dental
IR-N-N-353,SRM Kattankulathur Dental College,Chennai,Tamil Nadu,52.13,32,Dental
IR-N-C-45605,Chettinad Dental College and Research Institute,Kelambakkam,Tamil Nadu,51.71,33,Dental
IR-N-C-5910,Government Dental College,Ahmedabad,Gujarat,51.6,34,Dental
IR-N-C-6548,Mahatma Gandhi P.G. Institute of Dental Sciences,Pondicherry,Pondicherry,51.39,35,Dental
IR-N-C-35422,"Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital, Pune",Pune,Maharashtra,51.06,36,Dental
IR-N-C-40193,Bapuji Dental College & Hospital,Davangere,Karnataka,50.86,37,Dental
IR-N-U-0169,Manav Rachna International Institute of Research and Studies,Faridabad,Haryana,49.88,38,Dental
IR-N-C-45597,"Adhiparasakthi Dental College and Hospital, Kancheepuram",Melmaruvathur,Tamil Nadu,49.44,39,Dental
IR-N-N-73,Army College of Dental Sciences,Secunderabad,Telangana,49.38,40,Dental
