Institute ID,Name,City,State,Score,Rank,Stream
IR-P-U-0107,Jamia Hamdard,New Delhi,Delhi,84.01,1,Pharmacy
IR-P-I-1077,National Institute of Pharmaceutical Education and Research Hyderabad,Hyderabad,Telangana,80.29,2,Pharmacy
IR-P-U-0391,"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,78.95,3,Pharmacy
IR-P-C-35006,JSS College of Pharmacy,Ooty,Tamil Nadu,77.13,4,Pharmacy
IR-P-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,74.69,5,Pharmacy
IR-P-C-35007,JSS College of Pharmacy,Mysore,Karnataka,72.89,6,Pharmacy
IR-P-U-0078,Panjab University,Chandigarh,Chandigarh,72.76,7,Pharmacy
IR-P-C-7249,"Manipal College of Pharmaceutical Sciences, Manipal",Udupi,Karnataka,72.27,8,Pharmacy
IR-P-U-0380,National Institute of Pharmaceutical Education and Research Mohali,Mohali,Punjab,70.86,9,Pharmacy
IR-P-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,69.94,10,Pharmacy
IR-P-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,68.9,11,Pharmacy
IR-P-I-1073,National Institute of Pharmaceutical Education and Research Guwahati,Guwahati,Assam,68.82,12,Pharmacy
IR-P-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,68.07,13,Pharmacy
IR-P-N-26,National Institute of Pharmaceutical Education and Research Raebareli,Lucknow,Uttar Pradesh,65.53,14,Pharmacy
IR-P-N-14,National Institute of Pharmaceutical Education and Research Ahmedabad,Gandhinagar,Gujarat,64.89,15,Pharmacy
IR-P-U-0853,Delhi Pharmaceutical Sciences and Research University,Delhi,Delhi,64.73,16,Pharmacy
IR-P-U-0379,Lovely Professional University,Phagwara,Punjab,64.73,16,Pharmacy
IR-P-U-0575,Jadavpur University,Kolkata,West Bengal,64.14,18,Pharmacy
IR-P-U-0373,Chitkara University,Rajpura,Punjab,64.05,19,Pharmacy
IR-P-U-0747,Chandigarh University,Mohali,Punjab,64.01,20,Pharmacy
IR-P-U-0498,Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,61.78,21,Pharmacy
IR-P-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,61.07,22,Pharmacy
IR-P-U-0372,Central University of Punjab,Bathinda,Punjab,60.92,23,Pharmacy
IR-P-I-1072,National Institute of Pharmaceutical Education and Research Kolkata,Kolkata,West Bengal,58.76,24,Pharmacy
IR-P-C-10398,I. S. F. College of Pharmacy,Moga,Punjab,58.27,25,Pharmacy
IR-P-U-0168,Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,58.24,26,Pharmacy
IR-P-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,58.19,27,Pharmacy
IR-P-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,57.77,28,Pharmacy
IR-P-U-0392,Central University of Rajasthan,Kishangarh,Rajasthan,57.65,29,Pharmacy
IR-P-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,57.07,30,Pharmacy
IR-P-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,56.98,31,Pharmacy
IR-P-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,56.75,32,Pharmacy
IR-P-S-58036,National Institute Of Pharmaceutical Education And Research Hajipur,Hajipur,Bihar,56.4,33,Pharmacy
IR-P-I-1450,"AU College of Pharmaceutical Sciences, Andhra University",Visakhapatnam,Andhra Pradesh,56.11,34,Pharmacy
IR-P-C-35430,"Poona College of Pharmacy, Pune",Pune,Maharashtra,55.86,35,Pharmacy
IR-P-I-1335,Dr D Y Patil Institute of Pharmaceutical Sciences and Research,Pune,Maharashtra,55.24,36,Pharmacy
IR-P-U-0146,Nirma University,Ahmedabad,Gujarat,55.22,37,Pharmacy
IR-P-I-1280,Maharshi Dayanand University,Rohtak,Haryana,54.53,38,Pharmacy
IR-P-C-33877,SVKM`s Dr. Bhanuben Nanavati College of Pharmacy,Mumbai,Maharashtra,54.18,39,Pharmacy
